レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202608080901,2026-08-08,09,01R,10:32,2026-08-08T10:22:28.071518+09:00,6.5,2.9,15.5,10.9,10.6,22.4,16.8,22.4,6.2,36.6,26.9,80.7,67.2,100.8,8.9,100.8,100.8,201.7,134.5,33.6,1.4,1.6,2.0,3.3,1.7,2.0,3.4,3.9,4.0,6.3,3.5,6.9,2.7,3.8,3.8,4.6,8.3,15.2,6.2,11.9,4.7,7.7,0.0,0.0,5.4,6.3,8.8,15.6,3.9,6.0,1.3,21.7,0.0,10.8,2.1,0.0,1.0,1.0,1.1,9.1,8.2,91.5,1.2,10.1,0.0,0.0,8.2,91.5
202608081801,2026-08-08,18,01R,10:38,2026-08-08T10:28:22.924853+09:00,8.0,3.9,16.5,10.3,5.9,20.6,18.8,19.4,7.7,34.1,20.8,31.7,46.9,48.3,18.6,74.8,40.8,18.7,87.3,24.3,1.4,1.7,1.8,2.1,1.5,1.8,6.0,6.9,3.3,3.9,4.8,6.6,2.2,3.0,6.3,7.5,6.4,7.9,3.6,4.8,8.9,10.1,8.5,10.1,9.2,10.6,4.0,4.8,9.6,10.1,1.2,7.3,11.2,4.6,19.3,19.3,1.0,1.0,1.8,3.9,4.4,9.9,1.3,2.7,2.7,6.0,3.5,7.9
202608081601,2026-08-08,16,01R,10:45,2026-08-08T10:36:18.613541+09:00,10.5,13.4,5.0,14.0,17.3,11.3,24.6,10.9,49.2,8.4,22.7,16.4,73.8,9.2,98.5,9.2,18.4,73.8,32.8,26.8,1.5,2.3,2.1,2.7,9.7,16.5,1.5,1.8,2.8,4.6,1.7,2.8,10.0,35.2,2.0,3.8,0.0,0.0,5.3,9.0,4.7,6.1,10.0,17.2,5.2,9.0,0.0,0.0,9.2,17.2,3.3,4.1,5.5,5.5,2.7,16.5,1.6,3.5,1.6,3.5,1.6,3.5,4.1,10.5,1.4,2.6,0.0,0.0
202608080201,2026-08-08,02,01R,10:47,2026-08-08T10:38:28.750582+09:00,4.8,5.0,13.6,6.7,15.3,29.2,27.9,40.9,10.0,51.1,12.5,43.8,36.1,25.5,7.6,68.2,36.1,32.3,61.4,23.6,2.3,2.4,3.1,3.5,2.7,2.9,4.4,4.7,4.2,4.7,2.9,3.1,3.1,3.5,5.9,6.3,3.2,3.5,3.5,3.7,3.3,3.5,7.3,7.7,6.1,6.3,3.0,3.2,6.2,6.3,5.6,1.8,5.6,11.2,0.0,2.8,1.0,1.1,1.8,8.5,4.8,25.5,1.2,5.1,0.0,0.0,1.8,8.5
202608081006,2026-08-08,10,06R,10:50,2026-08-08T10:40:23.823743+09:00,27.1,17.3,135.6,27.1,6.7,37.6,5.8,25.1,2.9,42.3,37.6,39.8,30.8,61.6,19.9,169.5,33.9,5.7,56.5,14.4,5.7,8.6,0.0,0.0,3.2,4.6,8.4,13.5,3.2,5.5,1.9,3.1,10.0,14.5,19.5,21.5,2.5,3.0,1.3,1.9,17.0,32.6,2.8,6.0,6.1,7.6,1.4,1.7,11.8,14.1,2.2,0.0,4.5,4.5,0.0,2.2,2.0,5.2,0.0,0.0,1.2,2.6,1.1,2.1,3.7,10.5,2.0,5.2
202608081701,2026-08-08,17,01R,10:57,2026-08-08T10:48:28.815519+09:00,2.5,10.9,39.2,4.2,10.9,53.2,3.9,46.5,13.8,49.7,41.4,372.7,67.7,248.5,93.1,93.1,124.2,53.2,248.5,74.5,2.2,4.8,1.0,1.1,2.7,5.7,7.5,11.4,1.1,1.6,2.4,5.4,0.0,0.0,32.2,52.8,8.8,17.5,3.7,8.5,7.5,11.7,3.3,7.3,32.7,52.8,6.8,13.3,27.5,34.7,1.0,33.7,0.0,33.7,0.0,16.8,1.0,1.0,0.0,0.0,1.1,11.6,0.0,0.0,1.8,23.2,1.8,23.2
202608081406,2026-08-08,14,06R,10:59,2026-08-08T10:50:22.421776+09:00,5.7,5.3,2.9,24.2,25.4,19.0,59.3,14.8,53.4,89.0,16.6,13.3,41.0,10.8,48.5,53.4,22.2,41.0,89.0,59.3,1.1,1.3,2.5,4.0,9.4,13.7,2.6,3.7,14.6,20.2,1.5,2.0,3.3,4.4,2.1,2.9,7.6,9.9,6.8,8.4,2.8,3.5,11.5,13.5,5.3,6.1,19.1,20.2,12.4,13.3,1.2,2.7,0.0,9.0,27.0,0.0,1.0,1.4,1.0,2.5,3.3,12.7,3.3,12.7,3.3,12.7,0.0,0.0
202608080902,2026-08-08,09,02R,11:02,2026-08-08T10:52:22.294218+09:00,4.5,15.2,12.4,137.2,9.8,5.0,34.3,2.6,0.0,137.2,27.4,27.4,34.3,17.1,0.0,0.0,15.2,0.0,68.6,137.2,0.0,0.0,1.1,3.7,0.0,0.0,1.0,2.8,3.0,11.2,4.8,11.2,3.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.2,1.0,0.0,627.0,627.0,0.0,0.0,3.0,6.7,1.6,3.3,1.6,3.3,1.6,3.3,1.6,3.3,0.0,0.0
202608081802,2026-08-08,18,02R,11:08,2026-08-08T10:58:19.782906+09:00,3.1,6.6,6.2,5.7,15.3,10.7,16.8,32.0,32.4,14.4,46.4,33.4,44.4,97.2,75.8,36.1,86.4,155.5,44.4,77.7,1.2,1.3,1.5,1.9,2.9,3.7,2.3,3.0,2.2,2.7,2.5,3.8,4.1,5.7,4.3,6.1,5.3,7.8,9.1,11.2,10.2,13.0,8.7,11.1,19.1,21.7,14.8,17.0,6.2,7.3,1.4,7.2,6.1,7.7,8.0,9.2,1.0,1.0,1.3,3.6,2.3,6.8,4.8,15.3,2.0,6.0,3.7,11.7
202608080202,2026-08-08,02,02R,11:16,2026-08-08T11:06:24.467701+09:00,12.3,60.0,20.8,40.0,36.9,7.6,9.6,68.5,80.0,14.1,20.8,11.1,10.4,96.0,80.0,16.0,20.0,9.4,3.5,22.8,10.2,14.5,1.0,1.3,7.2,9.9,3.5,7.5,4.8,7.5,5.3,7.6,28.0,28.5,4.4,6.2,8.8,10.0,20.2,28.2,1.0,1.3,2.0,2.8,21.0,28.0,26.2,28.5,2.7,4.0,15.5,4.2,6.6,4.6,2.3,4.2,2.6,6.7,1.5,3.3,1.2,2.2,0.0,0.0,1.5,3.3,2.6,6.7
202608081602,2026-08-08,16,02R,11:15,2026-08-08T11:06:24.467701+09:00,2.0,8.7,29.2,58.5,7.6,17.5,25.0,87.7,175.5,87.7,6.0,12.5,25.0,43.8,43.8,43.8,43.8,58.5,58.5,175.5,2.4,3.3,3.2,7.5,1.3,2.1,13.2,21.7,13.5,21.7,1.1,1.6,4.0,11.0,5.5,11.0,13.5,21.3,1.2,3.3,10.2,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,4.1,6.7,2.2,3.5,1.6,2.5,1.0,1.1,1.6,2.5,4.1,6.7
202608081007,2026-08-08,10,07R,11:20,2026-08-08T11:10:21.561514+09:00,13.8,7.1,14.3,114.5,8.1,6.2,50.9,2.8,17.6,22.9,45.8,14.3,152.7,24.1,35.2,76.3,22.9,229.1,91.6,18.3,2.4,4.5,8.2,16.8,1.1,1.4,1.3,1.7,24.2,49.1,1.8,4.5,5.8,12.6,5.2,10.1,0.0,0.0,6.3,12.6,13.5,24.7,0.0,0.0,1.8,2.9,12.5,24.5,9.3,16.7,1.0,0.0,14.2,0.0,3.5,0.0,1.1,5.2,0.0,0.0,2.6,15.7,2.6,15.7,1.0,1.0,2.6,15.7
202608081702,2026-08-08,17,02R,11:28,2026-08-08T11:18:24.330950+09:00,9.0,21.6,4.3,14.7,27.0,4.8,12.9,20.2,40.5,4.7,40.5,24.9,46.3,108.2,64.9,18.0,36.0,108.2,23.1,36.0,1.9,2.6,2.4,5.5,11.7,24.7,1.1,1.2,2.3,4.6,14.5,26.2,15.7,26.2,3.0,4.5,5.1,9.0,0.0,0.0,1.6,2.8,14.2,52.5,3.5,6.4,0.0,0.0,2.6,5.3,1.0,0.0,0.0,19.5,39.0,39.0,1.0,1.6,0.0,0.0,1.2,3.2,1.6,4.8,3.0,9.7,3.0,9.7
202608080903,2026-08-08,09,03R,11:30,2026-08-08T11:20:24.297415+09:00,5.8,5.4,43.8,29.2,8.7,29.2,43.8,21.9,87.7,0.0,3.0,29.2,9.7,43.8,7.9,0.0,0.0,17.5,87.7,87.7,2.1,9.0,0.0,0.0,3.5,18.0,0.0,0.0,0.0,0.0,1.6,9.0,1.0,1.8,0.0,0.0,2.1,9.0,1.1,3.6,0.0,0.0,5.0,18.0,0.0,0.0,3.5,18.0,0.0,0.0,1.2,2.2,11.2,0.0,0.0,0.0,1.0,1.8,1.3,3.1,1.3,3.1,4.1,12.7,4.1,12.7,0.0,0.0
202608080501,2026-08-08,05,01R,11:33,2026-08-08T11:24:19.872076+09:00,3.3,18.2,6.0,38.3,14.1,5.0,22.5,18.2,127.7,63.8,27.3,6.3,54.7,42.5,54.7,47.9,16.6,127.7,21.2,95.8,2.5,4.1,1.1,1.4,21.5,29.7,2.4,4.1,11.2,15.2,1.4,1.8,5.1,6.4,4.9,7.8,24.2,29.2,4.9,6.3,1.2,1.5,7.7,10.0,22.5,30.0,28.5,30.0,23.0,30.0,3.7,7.5,3.7,0.0,1.5,0.0,1.0,1.7,0.0,0.0,1.3,3.3,9.0,30.0,1.0,2.3,0.0,0.0
202608081407,2026-08-08,14,07R,11:35,2026-08-08T11:26:22.699240+09:00,8.3,18.4,3.6,21.8,34.9,7.7,63.6,19.4,63.6,13.4,38.8,4.4,38.8,22.5,87.4,12.4,29.1,63.6,23.3,63.6,4.7,5.8,5.8,7.5,10.1,12.6,2.0,2.2,8.8,10.3,2.4,3.0,7.0,8.6,2.0,2.3,8.9,10.2,1.8,2.2,1.8,2.1,14.2,16.5,2.1,2.5,11.1,12.6,4.4,4.5,1.0,5.0,0.0,0.0,15.0,0.0,1.1,2.3,1.9,4.6,3.5,9.3,0.0,0.0,1.1,2.3,2.5,6.2
202608081803,2026-08-08,18,03R,11:38,2026-08-08T11:28:21.141200+09:00,2.5,9.2,26.3,13.4,12.5,23.0,20.2,49.4,43.1,75.5,5.7,21.9,8.2,37.7,23.2,73.4,51.2,37.7,69.6,64.7,1.3,1.8,1.4,1.9,2.1,2.6,10.6,12.7,7.5,9.5,1.3,1.7,3.9,5.3,13.3,15.7,3.7,4.6,3.2,4.2,13.3,15.6,3.8,4.8,19.7,22.2,17.5,19.8,21.1,22.2,3.4,3.7,2.5,6.7,7.3,10.5,1.8,2.6,1.1,1.3,1.2,1.6,2.6,3.7,6.3,9.3,4.8,7.2
202608080203,2026-08-08,02,03R,11:45,2026-08-08T11:36:26.866994+09:00,7.5,28.1,4.6,26.0,37.5,11.8,52.0,28.1,112.7,56.3,13.2,4.0,13.2,11.8,52.0,10.9,29.4,42.2,19.8,52.0,7.0,14.0,1.9,3.0,16.7,57.3,4.8,9.3,0.0,0.0,1.3,1.7,4.2,7.2,1.5,2.1,4.5,8.3,10.1,18.2,1.3,1.7,3.3,6.0,8.0,13.8,0.0,0.0,3.6,6.5,0.0,4.1,2.7,4.1,2.7,8.2,1.8,4.5,1.3,2.2,1.8,4.5,1.8,4.5,1.8,4.5,0.0,0.0
202608081603,2026-08-08,16,03R,11:50,2026-08-08T11:40:30.341317+09:00,28.0,5.7,4.0,45.6,28.0,16.6,40.5,3.7,36.5,13.5,33.2,30.4,121.7,8.9,45.6,24.3,33.2,73.0,91.3,16.6,1.4,2.2,7.2,17.7,1.9,2.9,1.0,1.1,11.5,26.2,7.8,13.5,27.2,34.5,1.8,3.1,30.2,51.7,10.3,17.5,2.5,5.0,0.0,0.0,2.1,3.2,8.3,13.3,6.1,12.5,1.8,0.0,4.5,9.0,9.0,3.0,1.0,1.0,0.0,0.0,2.2,19.5,2.2,19.5,2.2,19.5,1.3,9.7
202608081008,2026-08-08,10,08R,11:52,2026-08-08T11:42:21.071509+09:00,3.6,8.4,3.4,70.7,9.7,6.4,62.9,16.6,33.3,47.1,24.6,14.1,51.4,25.7,40.4,141.5,37.7,141.5,141.5,80.8,1.0,1.2,4.4,11.4,3.1,5.1,2.2,3.7,29.2,32.7,1.1,2.0,6.3,16.8,2.3,5.7,0.0,0.0,25.5,33.2,5.2,6.9,31.7,39.0,10.1,11.2,31.7,49.1,10.6,15.8,1.0,36.7,18.3,0.0,0.0,36.7,1.7,2.2,10.1,13.5,1.3,1.6,1.4,1.8,1.5,2.0,10.1,13.5
202608080401,2026-08-08,04,01R,11:55,2026-08-08T11:46:22.314994+09:00,12.0,7.7,16.3,102.7,6.8,11.6,46.7,3.4,35.4,57.0,8.7,22.8,46.7,14.2,85.6,114.1,8.0,48.9,171.2,25.6,2.0,2.4,1.6,2.0,2.0,2.6,2.8,3.3,23.8,25.7,3.8,5.0,4.3,5.5,4.2,5.0,24.8,27.1,1.7,2.1,4.0,5.0,12.3,13.7,2.5,2.9,24.1,27.1,10.6,11.1,1.0,40.0,8.0,9.2,20.0,40.0,1.8,58.2,0.0,0.0,1.8,58.2,1.0,1.0,1.1,29.1,0.0,0.0
202608081703,2026-08-08,17,03R,11:58,2026-08-08T11:48:23.378764+09:00,21.3,6.9,45.6,8.1,24.5,12.2,35.5,17.7,6.5,13.8,26.6,63.9,24.5,79.8,7.2,19.9,45.6,24.5,35.5,5.5,2.5,2.8,5.6,6.3,4.6,6.1,11.2,12.0,2.3,2.8,5.5,6.3,1.9,2.3,10.5,12.0,3.1,4.4,3.4,4.2,11.2,12.0,3.4,4.4,3.5,4.3,1.4,1.5,9.2,11.7,1.2,0.0,0.0,2.5,0.0,7.5,1.5,3.7,2.6,7.5,1.5,3.7,2.6,7.5,0.0,0.0,1.1,1.8
202608080904,2026-08-08,09,04R,12:00,2026-08-08T11:50:20.993632+09:00,19.5,30.4,45.6,54.7,3.7,10.9,45.6,19.5,91.2,91.2,21.0,34.2,91.2,45.6,136.8,136.8,2.7,8.0,22.8,10.1,6.6,10.1,3.3,3.6,3.0,5.2,5.3,10.1,5.8,6.8,12.0,18.7,0.0,0.0,0.0,0.0,12.0,19.1,2.4,4.3,2.4,4.3,2.0,2.3,1.5,3.6,2.1,3.6,2.8,5.3,1.0,5.2,5.2,0.0,0.0,0.0,1.9,2.8,2.6,3.8,1.1,1.6,1.1,1.3,4.1,6.1,11.6,16.8
202608080502,2026-08-08,05,02R,12:02,2026-08-08T11:52:24.872319+09:00,12.1,10.1,2.5,13.5,22.1,4.9,30.4,24.3,81.2,16.2,30.4,18.7,40.6,30.4,48.7,15.2,48.7,0.0,40.6,81.2,1.0,1.3,1.3,2.5,21.2,39.0,1.1,1.6,4.5,10.3,2.8,8.3,0.0,0.0,1.8,5.3,15.7,80.2,22.5,80.2,8.7,20.2,0.0,0.0,21.2,40.1,0.0,0.0,20.5,40.1,1.0,21.7,0.0,0.0,0.0,0.0,1.0,1.0,1.8,10.5,0.0,0.0,1.8,10.5,1.1,5.2,0.0,0.0
202608081408,2026-08-08,14,08R,12:05,2026-08-08T11:56:20.802725+09:00,7.4,15.1,4.1,39.1,33.5,20.4,94.0,47.0,52.2,94.0,12.0,2.6,23.5,18.8,33.5,16.2,29.3,58.7,58.7,52.2,4.4,6.6,11.1,19.6,24.2,26.0,2.5,3.6,11.0,19.6,1.5,2.4,3.3,4.6,1.1,1.2,1.4,2.3,5.6,10.1,3.9,9.8,0.0,0.0,8.6,13.0,21.0,38.2,3.8,9.8,1.2,2.6,10.1,71.2,0.0,71.2,2.0,3.1,1.0,1.1,2.0,3.1,3.7,6.0,1.5,2.2,3.7,6.0
202608081804,2026-08-08,18,04R,12:09,2026-08-08T12:00:45.867621+09:00,3.0,7.9,2.9,12.1,26.1,19.6,67.6,44.0,74.6,48.7,28.3,9.1,37.3,29.2,67.6,25.3,101.5,140.5,96.1,126.0,1.1,1.2,1.8,2.7,5.6,8.4,2.3,3.6,8.3,12.0,1.8,2.7,3.3,4.6,1.7,2.4,5.4,7.4,8.2,9.4,8.5,10.5,14.0,15.5,9.6,11.2,14.7,15.5,9.9,11.2,1.3,2.2,16.0,18.3,18.3,85.7,1.1,1.9,1.0,1.0,3.8,7.7,12.5,25.3,1.7,3.2,4.4,8.9
202608080204,2026-08-08,02,04R,12:14,2026-08-08T12:04:20.509433+09:00,19.1,16.0,3.8,49.7,29.2,33.1,165.7,24.8,82.8,55.2,11.3,5.3,62.1,4.1,45.2,8.0,21.6,55.2,82.8,24.8,1.0,1.6,0.0,0.0,6.1,14.7,3.4,12.1,33.7,144.7,16.0,36.1,1.7,2.6,1.0,1.2,15.8,36.1,42.5,72.3,8.3,18.0,0.0,0.0,1.7,2.7,42.2,72.3,6.8,14.5,0.0,1.3,0.0,4.8,3.2,9.7,1.5,7.5,1.0,1.0,0.0,0.0,1.5,7.5,1.5,7.5,0.0,0.0
202608081604,2026-08-08,16,04R,12:21,2026-08-08T12:12:20.846122+09:00,1.3,22.0,30.2,161.5,5.6,8.9,22.0,30.2,53.8,121.1,69.2,80.7,242.2,69.2,484.5,242.2,44.0,161.5,242.2,80.7,1.5,3.3,1.0,1.0,1.5,2.8,2.1,4.2,17.6,25.0,1.5,4.7,22.0,26.5,23.0,26.5,24.5,36.7,4.8,20.0,10.2,39.7,0.0,0.0,22.5,26.5,24.0,39.3,25.0,39.7,1.0,0.0,25.1,0.0,0.0,0.0,1.0,1.0,3.0,75.1,1.4,30.3,1.6,37.7,3.0,75.1,5.6,149.6
202608080402,2026-08-08,04,02R,12:24,2026-08-08T12:14:25.250084+09:00,7.9,9.0,16.1,26.6,9.4,5.0,13.6,20.4,25.5,29.1,10.0,8.8,17.4,36.0,61.2,51.0,16.1,29.1,22.6,43.7,1.8,2.3,1.3,1.4,7.6,9.8,3.8,5.6,3.5,4.8,3.0,4.3,8.8,10.2,6.0,7.2,20.6,24.5,5.0,6.1,1.6,2.0,2.5,3.2,4.9,5.7,43.7,48.2,5.2,6.4,1.0,37.5,37.5,0.0,37.5,0.0,2.2,7.5,1.0,1.5,2.2,7.5,2.2,7.5,1.3,3.7,0.0,0.0
202608081009,2026-08-08,10,09R,12:27,2026-08-08T12:18:21.230149+09:00,4.9,2.1,20.6,45.4,8.8,41.2,151.3,4.9,12.4,69.8,53.4,43.2,151.3,43.2,45.4,227.0,100.9,454.1,227.0,31.3,1.5,3.0,2.1,7.3,1.1,1.5,4.7,9.9,0.0,0.0,1.6,2.7,2.0,3.1,16.5,19.5,34.5,50.6,4.3,9.7,32.7,57.7,0.0,0.0,4.1,5.8,6.3,9.7,12.4,19.7,1.2,7.5,7.5,3.7,0.0,0.0,1.0,1.0,1.2,15.2,0.0,0.0,1.2,15.2,3.0,45.7,0.0,0.0
