レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202608202105,2026-08-20,21,05R,10:20,2026-08-20T10:10:24.742833+09:00,18.7,34.1,4.5,10.9,24.2,4.9,8.9,24.2,25.2,3.5,96.8,58.1,96.8,83.0,96.8,20.7,58.1,64.5,18.1,38.7,3.1,3.6,4.9,5.5,2.9,3.6,1.4,1.7,1.4,1.7,8.0,8.5,7.7,8.5,6.7,8.5,6.7,8.5,8.0,8.5,7.0,8.5,7.0,8.5,2.5,3.1,6.7,8.5,2.0,2.7,1.2,5.8,7.7,23.2,11.6,11.6,1.0,1.3,1.2,3.7,4.5,18.7,4.5,18.7,0.0,0.0,1.4,4.6
202608202305,2026-08-20,23,05R,10:27,2026-08-20T10:18:27.409549+09:00,10.1,16.9,2.3,14.2,29.6,8.8,44.4,25.3,59.2,14.8,44.4,10.4,22.2,44.4,88.8,8.0,59.2,118.5,44.4,88.8,1.8,2.2,5.1,6.1,18.2,22.5,1.9,2.5,18.5,22.0,3.9,4.6,2.3,2.6,1.4,1.6,2.5,2.8,20.0,22.5,3.0,3.7,7.0,7.8,16.7,21.7,3.1,3.7,6.0,7.5,1.0,16.0,24.0,48.0,16.0,48.0,1.0,1.0,1.2,2.3,2.6,5.2,4.8,10.1,1.8,3.6,4.8,10.1
202608200901,2026-08-20,09,01R,10:30,2026-08-20T10:20:33.167898+09:00,2.0,16.8,7.0,37.9,11.2,4.6,43.3,13.2,50.6,50.6,75.9,27.6,151.8,75.9,33.7,101.2,33.7,151.8,75.9,60.7,1.7,9.2,1.0,1.3,4.5,27.7,1.0,2.3,0.0,0.0,2.2,13.8,17.0,55.5,14.0,27.7,0.0,0.0,4.5,27.7,2.1,9.5,0.0,0.0,0.0,0.0,0.0,0.0,22.8,55.5,1.0,63.7,0.0,0.0,63.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0
202608201101,2026-08-20,11,01R,10:32,2026-08-20T10:22:30.958804+09:00,7.8,9.5,6.1,4.2,21.7,12.3,15.4,18.5,17.6,5.4,41.1,52.9,74.1,46.3,37.0,30.8,52.9,74.1,52.9,37.0,1.2,1.3,2.9,3.4,1.5,1.8,1.8,2.2,1.9,2.4,10.5,15.3,17.5,30.0,5.0,7.8,2.5,3.7,23.2,30.0,12.5,15.2,25.0,29.7,11.0,15.2,7.6,10.4,6.1,7.8,1.0,7.5,0.0,15.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,1.5,4.5,1.5,4.5,1.5,4.5
202608201805,2026-08-20,18,05R,10:34,2026-08-20T10:24:25.445660+09:00,13.9,3.9,11.0,43.2,4.6,13.5,36.5,5.4,4.5,14.4,47.5,79.2,237.7,95.1,79.2,95.1,475.5,95.1,237.7,59.4,1.2,1.9,2.3,3.3,1.0,1.2,3.5,7.2,10.2,23.4,5.3,6.9,1.4,2.3,13.1,24.5,26.5,48.3,3.2,5.0,14.5,24.5,29.0,48.3,20.5,45.7,2.8,5.7,0.0,0.0,1.0,0.0,39.0,3.9,39.0,19.5,1.0,2.4,4.5,17.2,0.0,0.0,1.0,1.4,2.4,8.6,4.5,17.2
202608201301,2026-08-20,13,01R,10:37,2026-08-20T10:28:26.390983+09:00,6.3,31.5,13.7,78.9,5.8,5.3,14.3,26.3,315.7,157.8,10.1,8.0,35.0,52.6,35.0,78.9,7.3,19.7,15.7,45.1,2.1,7.8,1.3,1.8,0.0,0.0,2.6,5.3,0.0,0.0,1.9,3.1,0.0,0.0,8.2,15.3,9.2,15.7,2.2,3.1,1.7,2.0,4.7,6.3,4.3,8.0,9.2,31.5,4.7,7.6,6.7,3.3,2.2,6.7,6.7,6.7,1.0,1.5,0.0,0.0,1.0,2.2,0.0,0.0,1.5,4.5,0.0,0.0
202608201601,2026-08-20,16,01R,10:41,2026-08-20T10:32:35.183478+09:00,3.8,26.3,5.2,17.6,22.4,3.7,15.8,35.9,53.9,29.1,29.1,8.2,25.6,71.9,71.9,31.7,41.4,77.0,33.7,71.9,1.1,2.2,1.0,1.0,41.0,98.2,2.0,4.2,7.3,17.0,1.5,4.1,21.7,24.8,6.5,8.0,10.9,12.7,8.8,20.2,4.0,10.2,13.9,33.1,46.8,49.6,97.0,98.5,23.3,25.1,1.2,8.6,8.6,34.5,4.9,17.2,1.4,1.5,1.8,2.3,2.6,3.2,3.3,4.1,2.1,2.7,1.8,2.3
202608200201,2026-08-20,02,01R,10:47,2026-08-20T10:38:34.900877+09:00,9.6,13.6,35.8,30.9,6.6,23.5,15.8,16.2,7.1,52.4,9.2,34.0,34.0,42.6,15.8,75.7,19.4,4.3,61.9,18.4,6.6,7.6,2.6,3.3,2.3,2.8,9.2,10.0,3.0,3.6,2.7,3.3,2.9,3.6,13.7,14.6,6.4,7.6,1.5,1.7,6.4,7.2,3.0,4.0,8.3,9.5,1.9,2.2,6.8,7.6,10.1,5.0,1.6,2.2,0.0,0.0,0.0,0.0,1.5,3.0,1.5,3.0,2.6,6.0,1.5,3.0,2.6,6.0
202608202106,2026-08-20,21,06R,10:50,2026-08-20T10:40:28.890006+09:00,15.7,12.8,15.0,2.8,23.1,31.5,28.8,34.6,12.3,16.5,43.3,38.5,15.7,43.3,8.2,13.3,21.6,34.6,28.8,17.3,1.4,1.7,4.0,5.0,1.7,2.1,8.0,9.2,1.9,2.7,3.3,4.1,3.0,4.1,15.2,17.7,1.4,1.7,8.0,9.6,17.7,18.5,14.5,18.5,16.0,18.5,4.0,5.0,8.0,9.6,2.0,0.0,2.7,8.2,8.2,4.1,1.5,3.7,1.5,3.7,0.0,0.0,1.5,3.7,0.0,0.0,1.1,1.8
202608202306,2026-08-20,23,06R,10:56,2026-08-20T10:46:29.438528+09:00,8.1,6.3,17.7,48.9,2.3,8.5,97.8,8.1,48.9,27.9,16.3,65.2,32.6,48.9,97.8,97.8,21.7,65.2,65.2,48.9,4.5,9.1,1.3,2.3,1.2,1.4,3.3,6.2,9.2,17.6,3.5,12.0,2.6,4.7,10.5,36.0,0.0,0.0,1.8,3.9,2.3,7.2,0.0,0.0,4.6,9.1,9.2,17.6,0.0,0.0,3.3,6.7,13.5,13.5,0.0,1.3,0.0,0.0,1.5,3.7,1.5,3.7,1.5,3.7,1.1,1.8,0.0,0.0
202608200902,2026-08-20,09,02R,11:00,2026-08-20T10:50:31.541760+09:00,17.4,8.4,25.2,5.4,17.4,56.8,13.3,28.4,3.5,14.2,17.4,227.2,56.8,45.4,7.1,45.4,56.8,45.4,32.4,16.2,1.1,2.2,8.2,18.0,2.8,6.2,0.0,0.0,2.3,4.7,8.2,18.0,2.3,4.7,0.0,0.0,2.8,6.2,5.1,6.2,11.7,18.0,9.5,12.0,9.7,17.2,1.5,1.6,9.7,17.2,1.6,18.0,0.0,1.6,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
202608201102,2026-08-20,11,02R,10:59,2026-08-20T10:50:31.541760+09:00,11.8,5.7,18.9,63.2,1.9,18.9,94.8,8.2,27.1,0.0,10.5,31.6,0.0,23.7,94.8,94.8,18.9,189.7,63.2,47.4,2.0,3.7,1.1,1.4,1.8,3.7,0.0,0.0,3.5,5.3,8.5,21.0,4.1,5.0,6.8,9.7,12.0,21.0,1.8,3.8,4.5,7.0,0.0,0.0,6.3,9.7,12.0,19.1,4.9,7.0,1.0,6.7,33.7,16.8,0.0,33.7,1.0,1.0,1.0,3.8,4.5,27.0,4.5,27.0,0.0,0.0,2.4,13.5
202608201302,2026-08-20,13,02R,11:02,2026-08-20T10:52:30.155652+09:00,9.3,8.5,12.8,5.4,11.4,34.2,102.7,102.7,25.6,102.7,6.8,6.8,8.5,20.5,12.8,20.5,25.6,102.7,102.7,51.3,2.2,4.2,7.0,12.0,7.2,12.0,3.7,4.2,2.2,2.9,2.3,8.0,0.0,0.0,3.1,6.1,1.3,1.7,0.0,0.0,7.2,12.0,3.1,6.0,7.2,12.0,4.0,6.0,2.3,2.9,1.2,4.5,13.5,0.0,13.5,6.7,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5
202608201806,2026-08-20,18,06R,11:04,2026-08-20T10:54:32.336153+09:00,5.4,3.6,19.8,5.6,10.1,75.3,11.4,47.0,8.7,75.3,13.4,188.2,25.1,62.7,8.5,188.2,376.5,47.0,376.5,53.7,1.3,1.6,2.7,5.4,1.5,2.0,29.7,53.2,3.2,6.0,1.7,2.9,1.5,2.0,15.2,27.0,3.5,6.5,3.8,7.3,0.0,0.0,15.5,56.6,16.2,27.7,6.3,11.5,0.0,0.0,1.0,4.4,44.2,22.1,0.0,14.7,1.0,1.5,1.0,2.2,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
202608201602,2026-08-20,16,02R,11:10,2026-08-20T11:01:06.199463+09:00,4.6,2.6,8.1,15.0,5.8,32.7,89.1,15.8,40.8,49.0,13.4,51.6,89.1,21.3,70.0,49.0,81.7,98.1,163.5,70.0,1.0,1.0,1.9,6.1,1.3,2.7,6.9,14.2,6.9,14.8,1.7,9.8,1.7,5.8,0.0,0.0,13.1,44.6,4.9,8.3,0.0,0.0,54.7,88.8,26.1,42.7,17.7,20.0,57.2,88.8,1.3,31.5,4.5,3.5,31.5,31.5,1.0,1.7,1.8,5.2,7.8,26.2,1.0,2.1,4.1,13.1,0.0,0.0
202608200202,2026-08-20,02,02R,11:16,2026-08-20T11:06:22.652696+09:00,8.2,22.0,6.0,34.9,28.2,10.4,34.9,8.0,45.6,14.4,12.9,5.5,49.5,6.6,118.8,34.9,13.5,99.0,49.5,42.4,3.7,4.4,5.2,6.3,4.9,5.3,2.1,2.3,5.6,6.3,1.6,1.9,3.4,4.0,2.3,2.8,10.5,11.7,3.6,4.3,2.2,2.6,8.1,9.1,4.9,5.3,5.3,5.3,4.9,5.3,7.6,22.8,3.5,3.5,3.2,3.5,1.1,5.2,0.0,0.0,1.1,5.2,0.0,0.0,1.0,1.0,0.0,0.0
202608202107,2026-08-20,21,07R,11:20,2026-08-20T11:10:38.258761+09:00,4.2,10.8,8.1,58.6,5.8,9.1,48.8,11.2,29.3,73.3,12.2,11.2,293.2,11.2,48.8,293.2,10.8,48.8,73.3,58.6,1.8,8.2,1.3,5.1,1.0,1.6,2.8,13.7,0.0,0.0,4.0,13.7,2.5,13.7,6.3,20.6,0.0,0.0,1.8,10.3,0.0,0.0,0.0,0.0,3.8,20.6,0.0,0.0,0.0,0.0,1.0,0.0,3.3,0.0,0.0,0.0,1.0,1.2,1.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.7
202608201303,2026-08-20,13,03R,11:26,2026-08-20T11:16:21.938144+09:00,18.6,74.6,8.7,49.7,11.4,6.2,21.3,5.7,74.6,149.2,16.5,9.9,49.7,8.7,49.7,149.2,4.3,37.3,18.6,74.6,4.8,15.3,9.0,12.0,0.0,0.0,3.5,3.8,9.7,30.7,9.0,12.0,0.0,0.0,3.5,3.8,9.7,30.7,1.1,1.8,1.6,2.9,9.5,12.0,1.0,1.5,0.0,0.0,9.5,10.8,1.1,0.0,6.7,13.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202608202307,2026-08-20,23,07R,11:28,2026-08-20T11:18:26.315564+09:00,1.0,59.2,143.7,67.1,17.0,59.2,12.4,335.5,167.7,201.3,41.9,111.8,52.9,201.3,100.6,1006,167.7,91.5,335.5,1006,2.4,5.2,1.0,1.0,3.0,6.5,3.2,6.5,2.6,5.3,1.9,4.0,6.0,6.6,12.0,12.7,11.8,12.7,2.5,5.4,10.7,25.0,5.5,12.8,23.7,25.0,12.0,12.8,23.5,25.0,1.2,7.5,3.0,15.0,0.0,0.0,1.0,1.7,1.0,2.1,3.3,10.5,0.0,0.0,1.8,5.2,0.0,0.0
202608201103,2026-08-20,11,03R,11:30,2026-08-20T11:20:31.997007+09:00,2.2,4.1,11.1,8.1,12.0,16.2,16.2,42.3,24.8,42.3,35.2,47.0,105.7,52.8,0.0,211.5,35.2,70.5,84.6,105.7,1.0,1.0,1.2,2.7,5.1,13.3,3.3,9.0,2.8,7.0,1.6,4.8,5.1,13.6,2.3,5.7,4.8,13.6,15.5,54.7,7.8,27.3,0.0,0.0,17.0,54.7,0.0,0.0,0.0,0.0,1.0,39.0,39.0,0.0,39.0,0.0,1.0,1.0,0.0,0.0,1.1,93.0,0.0,0.0,0.0,0.0,1.1,93.0
202608200903,2026-08-20,09,03R,11:31,2026-08-20T11:22:36.351277+09:00,14.7,31.5,8.4,20.0,9.5,4.6,22.0,4.5,24.5,16.9,22.0,36.7,55.1,27.5,44.1,55.1,10.5,24.5,27.5,22.0,1.4,2.0,1.1,1.4,2.4,4.7,1.7,3.2,9.3,12.7,0.0,0.0,0.0,0.0,6.3,27.0,0.0,0.0,5.7,27.0,2.9,13.5,0.0,0.0,2.5,7.7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202608200501,2026-08-20,05,01R,11:33,2026-08-20T11:24:33.716578+09:00,8.4,4.1,5.4,8.2,35.6,33.3,44.5,19.7,41.0,19.0,19.7,12.7,44.5,7.6,28.1,11.8,53.4,133.5,133.5,44.5,1.7,1.9,21.7,41.6,2.3,3.0,1.9,2.4,7.5,14.3,2.6,3.8,2.0,2.3,1.8,2.1,2.6,3.8,22.5,41.2,11.3,21.3,0.0,0.0,3.1,3.9,6.0,10.8,22.2,42.0,1.3,2.5,0.0,4.5,0.0,0.0,1.6,2.4,1.1,1.2,3.0,4.5,3.0,4.5,3.0,4.5,1.6,2.4
202608201807,2026-08-20,18,07R,11:36,2026-08-20T11:26:29.884166+09:00,3.4,16.5,6.6,11.3,12.1,8.4,12.1,45.3,60.5,20.1,19.1,12.9,16.5,40.3,45.3,24.2,51.8,45.3,36.3,45.3,1.0,1.0,1.4,2.5,5.9,10.3,2.4,5.8,4.2,10.0,1.5,2.6,4.2,7.1,2.7,7.1,5.9,15.0,12.3,13.8,6.1,10.5,9.3,15.3,38.2,61.8,20.0,31.3,0.0,0.0,1.0,6.9,4.6,0.0,69.7,0.0,1.0,1.1,1.2,4.7,1.2,4.7,3.0,14.2,0.0,0.0,0.0,0.0
202608201603,2026-08-20,16,03R,11:39,2026-08-20T11:30:35.526177+09:00,6.3,30.9,66.2,6.6,21.4,24.6,2.0,132.4,21.1,36.4,45.5,80.9,6.7,291.3,42.8,112.0,104.0,16.5,28.0,104.0,2.3,3.0,1.4,1.9,16.8,20.9,12.6,15.8,1.3,1.6,2.1,2.5,13.7,15.9,27.0,31.1,2.4,3.1,5.6,6.4,5.6,6.4,1.4,1.9,29.3,31.1,16.8,20.9,12.6,15.8,2.7,27.0,1.8,13.5,40.5,3.6,1.6,2.2,4.6,6.5,1.1,1.5,4.6,6.5,6.7,9.3,1.1,1.4
202608200203,2026-08-20,02,03R,11:45,2026-08-20T11:36:31.059203+09:00,31.7,10.4,33.2,6.5,20.2,33.2,18.7,11.5,5.2,10.5,19.7,48.7,48.7,19.7,19.7,34.7,29.2,20.2,30.4,5.5,6.0,7.0,8.4,9.8,2.2,2.7,6.5,8.2,2.0,2.3,8.8,9.8,3.4,3.8,6.8,8.2,2.9,3.2,3.5,3.8,19.5,23.3,4.0,4.6,1.8,2.0,1.8,2.0,3.9,5.0,2.8,35.2,7.8,5.4,6.4,2.0,0.0,0.0,1.5,3.0,1.5,3.0,1.5,3.0,0.0,0.0,1.5,3.0
202608202108,2026-08-20,21,08R,11:50,2026-08-20T11:40:27.274407+09:00,11.0,7.3,15.3,5.3,7.6,22.1,28.5,28.5,18.1,49.8,16.6,33.2,8.6,33.2,8.3,11.0,33.2,39.9,66.5,49.8,1.6,1.8,5.8,7.3,11.0,14.0,3.2,3.8,1.8,2.4,2.8,3.1,2.3,2.6,3.2,3.6,1.6,1.9,12.0,14.0,12.5,14.0,11.2,14.0,6.3,7.3,4.0,5.0,6.0,7.3,5.0,1.0,0.0,20.2,0.0,20.2,1.8,2.2,1.8,2.2,1.5,1.6,1.8,2.2,3.3,4.1,3.3,4.1
202608201304,2026-08-20,13,04R,11:52,2026-08-20T11:42:30.694406+09:00,16.0,25.0,14.0,112.5,20.4,22.5,56.2,12.5,0.0,0.0,20.4,3.4,112.5,3.7,56.2,28.1,6.0,112.5,37.5,11.2,9.7,18.0,5.6,9.1,0.0,0.0,3.7,5.7,2.7,4.0,4.7,8.8,3.2,6.5,1.5,1.6,2.4,3.9,3.5,6.5,2.0,3.3,0.0,0.0,1.8,2.8,10.7,18.0,4.8,8.6,4.1,8.2,8.2,1.6,4.1,0.0,0.0,0.0,0.0,0.0,1.1,3.0,1.0,1.5,1.1,3.0,0.0,0.0
202608200401,2026-08-20,04,01R,11:55,2026-08-20T11:46:28.798580+09:00,8.1,14.3,32.0,17.2,14.0,21.0,12.7,12.9,5.3,10.2,61.2,67.3,51.8,44.9,33.6,32.0,30.6,14.6,20.4,4.8,3.4,4.0,4.2,5.1,3.1,4.0,3.0,3.8,1.5,1.5,5.7,6.0,6.4,7.0,5.6,6.0,4.8,5.7,5.3,5.9,15.6,16.7,3.4,4.1,3.6,4.2,2.0,2.4,2.6,3.2,8.2,4.1,0.0,2.7,0.0,1.6,0.0,0.0,1.1,2.8,3.3,11.2,3.3,11.2,1.8,5.6,1.0,1.6
