レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
201809040011,スポーツ報知杯,第5日,2018-09-04,ボートレース唐津,11R,準優勝戦,1800,14:04,1,4384,鶴本崇文,33,大阪,51.0,A1,6.78,51.05,7.0,47.62,17,25.0,37,28.1,3,,,,,,1,2,1,3,4,1,7,2,4771,下寺秀和,25,広島,53.0,B1,4.76,28.42,4.38,18.75,12,40.91,67,39.13,2,4,1,,,,2,1,3,2,,,3,3,3349,吉田一郎,50,長崎,51.0,A1,7.3,57.97,7.15,53.85,11,60.87,40,38.33,3,3,1,5,2,,1,2,,,,,6,4,4376,藤田靖弘,34,静岡,50.0,A2,6.13,46.72,6.82,53.57,55,11.11,74,30.51,6,3,2,2,2,,3,,,,,,7,5,3822,平尾崇典,45,岡山,50.0,A1,7.51,56.12,7.1,58.62,59,46.15,66,41.03,3,1,1,1,2,,2,4,,,,,1,6,4458,抹香雄三,32,広島,52.0,A2,5.43,33.06,4.1,20.0,64,11.11,62,26.85,3,4,5,,,,3,1,4,,,,4
201809040012,スポーツ報知杯,第5日,2018-09-04,ボートレース唐津,12R,準優勝戦,1800,14:42,1,4042,丸岡正典,39,大阪,50.0,A1,6.85,46.88,6.64,46.43,45,27.27,35,33.05,1,2,3,,,,3,6,1,1,,,4,2,4748,渡邉雄朗,32,東京,52.0,A2,5.87,44.07,4.32,26.32,51,40.0,59,37.5,1,,,,,,1,1,2,2,3,2,6,3,3548,室田泰史,48,福井,54.0,A2,6.08,44.44,6.44,33.33,63,45.45,63,37.72,1,2,4,5,5,,1,2,,,,,5,4,3505,山田竜一,47,東京,52.0,A1,6.01,39.47,5.82,27.27,46,63.64,89,37.19,6,4,3,4,2,,2,3,,,,,3,5,4808,松尾 拓,29,三重,49.0,A1,6.56,49.59,3.62,7.69,15,31.58,64,32.17,3,,,,,,4,2,1,1,1,5,5,6,4351,里岡右貴,32,福岡,52.0,A2,6.07,42.77,4.88,25.0,18,20.0,49,42.48,5,1,6,,,,3,2,4,,,,7
201809042101,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,1R,一般戦,1800,15:19,1,2983,鵜飼菜穂,58,愛知,46.0,B1,4.22,17.65,4.95,38.1,50,43.68,15,32.5,3,,,,,,4,3,4,,,,356,2,4726,島田なぎ,31,埼玉,46.0,B1,5.43,31.91,4.13,18.75,31,34.9,18,22.22,2,,,,,,3,5,4,6,4,,6,3,3357,福島陽子,49,岡山,48.0,B1,4.45,23.73,5.11,32.14,44,28.41,71,32.56,5,,,,,,5,5,4,,,,125,4,3528,笠野友紀,47,愛知,48.0,B1,4.98,25.0,4.32,15.79,40,32.98,47,38.46,3,2,4,,,,3,5,5,,,,4,5,4947,間庭菜摘,26,福岡,49.0,B2,1.59,1.96,1.38,,34,34.44,59,30.91,6,6,6,,,,5,,,,,,465,6,4680,後藤美翼,28,東京,47.0,B2,4.57,19.05,5.35,15.38,30,28.15,54,34.04,4,,,,,,6,1,4,3,6,,4
201809042102,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,2R,一般戦,1800,15:45,1,3177,宮本紀美,54,東京,50.0,B1,3.95,15.52,4.17,29.17,53,38.01,67,41.67,5,2,5,,,,3,3,6,,,,5,2,4773,中川りな,25,福岡,47.0,B1,4.57,24.63,3.44,15.63,2,37.1,30,30.61,6,4,4,,,,4,,,,,,425,3,3483,入船幸子,47,佐賀,43.0,B1,4.75,28.13,3.25,12.5,32,40.36,70,41.82,6,,,,,,3,6,2,,,,225,4,3551,藤田美代,46,福岡,44.0,B1,4.18,23.08,3.44,11.11,25,35.48,74,51.06,4,,,,,,4,6,4,,,,653,5,4830,勝又 桜,23,静岡,47.0,B2,3.29,15.69,4.0,11.11,52,24.83,57,33.33,6,,,,,,5,3,5,,,,642,6,4936,戸敷晃美,22,福岡,46.0,B1,3.49,13.33,2.08,,19,27.0,65,34.69,6,5,6,,,,3,5,5,,,,61
201809042103,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,3R,一般戦,1800,16:12,1,4722,竹野未華,33,福岡,50.0,B1,3.37,12.2,3.18,5.88,21,23.13,16,37.78,2,6,5,,,,5,,,,,,514,2,4694,高田 綾,33,福岡,44.0,B1,4.29,22.37,3.65,13.95,33,23.43,69,36.21,4,3,3,,,,1,4,4,,,,26,3,4534,坂咲友理,28,大阪,45.0,B1,4.53,20.65,3.2,,9,41.62,24,52.17,1,6,3,,,,3,,,,,,1332,4,3778,安達美帆,42,埼玉,47.0,B1,3.79,16.9,4.3,30.0,7,25.15,22,65.71,3,5,6,,,,2,,,,,,1465,5,3486,渋田治代,52,福岡,45.0,B2,4.47,25.0,4.78,33.33,15,41.62,44,31.91,2,4,3,,,,1,4,3,,,,1S,6,5019,柴田百恵,18,静岡,46.0,B2,1.47,1.16,,,36,45.45,53,40.48,4,,,,,,3,6,6,5,4,,55
201809042104,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,4R,一般戦,1800,16:39,1,3207,田村美和,52,東京,54.0,B1,3.8,17.58,3.56,18.75,59,25.47,25,27.5,2,5,2,,,,6,,,,,,521,2,4525,真子奈津,30,福岡,46.0,B1,4.97,24.55,3.98,16.67,45,37.22,45,53.19,2,5,2,,,,6,3,2,,,,25,3,4775,千葉真弥,24,静岡,49.0,B1,5.12,26.88,4.0,22.22,29,29.84,75,35.56,6,,,,,,3,6,6,5,3,,26,4,3317,大山博美,52,福岡,46.0,B1,3.92,16.67,3.81,21.88,58,30.72,19,31.71,5,,,,,,2,5,6,,,,631,5,3188,日高逸子,56,福岡,46.0,A1,6.52,46.98,6.78,47.5,13,42.7,28,36.59,4,4,5,2,2,,3,3,2,3,,,10,6,4929,梅内夕貴,22,東京,44.0,B1,1.97,3.45,2.11,11.11,51,36.42,36,51.35,1,,,,,,5,6,5,6,,,6
201809042105,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,5R,一般戦 進入固定 Ｈ１８０,ｍ電,17:07,1,3470,新田芳美,48,徳島,48.0,A2,5.92,32.39,5.95,47.62,5,35.91,61,35.09,4,3,1,1,6,,3,5,,,,,10,2,4304,藤崎小百,35,福岡,48.0,A1,6.98,55.12,6.52,49.3,49,43.37,56,38.64,4,1,2,4,3,,3,4,,,,,11,3,2983,鵜飼菜穂,58,愛知,46.0,B1,4.22,17.65,4.95,38.1,50,43.68,15,32.5,3,,,,,,4,3,4,,,,356,4,4183,宇野弥生,32,愛知,46.0,A2,6.23,43.8,6.36,59.09,24,27.17,50,40.0,3,6,4,1,6,,6,5,3,,,,9,5,4014,片岡恵里,38,山口,49.0,B1,5.72,39.24,5.0,20.0,55,34.32,27,28.26,5,,,,,,1,4,4,3,4,,33,6,4947,間庭菜摘,26,福岡,49.0,B2,1.59,1.96,1.38,,34,34.44,59,30.91,6,6,6,,,,5,,,,,,465
201809042106,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,6R,一般戦,1800,17:35,1,3674,岸 恵子,45,徳島,48.0,A2,6.05,43.52,4.78,22.22,57,28.81,21,40.38,1,3,2,5,1,,3,1,2,5,,,10,2,4680,後藤美翼,28,東京,47.0,B2,4.57,19.05,5.35,15.38,30,28.15,54,34.04,4,,,,,,6,1,4,3,6,,4,3,4830,勝又 桜,23,静岡,47.0,B2,3.29,15.69,4.0,11.11,52,24.83,57,33.33,6,,,,,,5,3,5,,,,642,4,4885,大山千広,22,福岡,47.0,A2,6.52,49.49,4.81,25.53,20,39.86,48,32.69,2,2,1,,,,1,2,3,5,1,4,10,5,3509,道上千夏,46,香川,48.0,B1,4.31,21.65,4.16,15.79,60,32.14,32,32.61,3,4,4,,,,2,5,3,,,,44,6,3334,角ひとみ,49,広島,45.0,A2,5.88,40.15,6.38,52.38,42,37.5,63,39.53,2,,,,,,3,3,1,4,2,6,11
201809042107,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,7R,一般戦,1800,18:03,1,4123,細川裕子,36,愛知,46.0,A1,7.13,55.22,6.79,53.57,23,32.73,73,42.55,1,6,5,,,,6,6,1,1,3,2,10,2,3483,入船幸子,47,佐賀,43.0,B1,4.75,28.13,3.25,12.5,32,40.36,70,41.82,6,,,,,,3,6,2,,,,225,3,4433,川野芽唯,32,福岡,45.0,A2,6.38,43.71,6.89,54.79,43,45.3,55,47.83,5,,,,,,1,6,2,3,5,2,11,4,4534,坂咲友理,28,大阪,45.0,B1,4.53,20.65,3.2,,9,41.62,24,52.17,1,6,3,,,,3,,,,,,1332,5,4722,竹野未華,33,福岡,50.0,B1,3.37,12.2,3.18,5.88,21,23.13,16,37.78,2,6,5,,,,5,,,,,,514,6,4556,竹井奈美,29,福岡,47.0,A2,7.06,52.24,5.27,35.29,12,33.33,40,34.04,1,,,,,,2,2,2,2,1,6,
201809042108,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,8R,一般戦,1800,18:31,1,3289,高橋淳美,55,大阪,46.0,A2,5.37,39.2,,,35,25.31,34,45.45,1,5,4,,,,3,5,5,6,4,6,,2,3177,宮本紀美,54,東京,50.0,B1,3.95,15.52,4.17,29.17,53,38.01,67,41.67,5,2,5,,,,3,3,6,,,,5,3,4823,中村桃佳,25,香川,45.0,A1,6.79,55.63,,,8,34.76,20,30.36,1,1,1,3,4,,5,4,,,,,11,4,3357,福島陽子,49,岡山,48.0,B1,4.45,23.73,5.11,32.14,44,28.41,71,32.56,5,,,,,,5,5,4,,,,125,5,3551,藤田美代,46,福岡,44.0,B1,4.18,23.08,3.44,11.11,25,35.48,74,51.06,4,,,,,,4,6,4,,,,653,6,3142,西茂登子,55,徳島,48.0,B1,4.36,21.43,,,27,32.09,33,26.19,3,6,,,,,2,,,,,,4
201809042109,Ｇ３オールレディースＪＡＬカップ,第6日,2018-09-04,ボートレース若松,9R,一般戦,1800,19:00,1,4183,宇野弥生,32,愛知,46.0,A2,6.23,43.8,6.36,59.09,24,27.17,50,40.0,3,6,4,1,6,,6,5,3,,,,5,2,3486,渋田治代,52,福岡,45.0,B2,4.47,25.0,4.78,33.33,15,41.62,44,31.91,2,4,3,,,,1,4,3,,,,1S,3,3528,笠野友紀,47,愛知,48.0,B1,4.98,25.0,4.32,15.79,40,32.98,47,38.46,3,2,4,,,,3,5,5,,,,4,4,3845,中谷朋子,41,兵庫,46.0,A1,7.93,63.04,5.91,50.0,39,39.89,39,30.43,4,,,,,,2,5,5,4,2,5,,5,4773,中川りな,25,福岡,47.0,B1,4.57,24.63,3.44,15.63,2,37.1,30,30.61,6,4,4,,,,4,,,,,,425,6,4726,島田なぎ,31,埼玉,46.0,B1,5.43,31.91,4.13,18.75,31,34.9,18,22.22,2,,,,,,3,5,4,6,4,,6
