レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609190501,2026-09-19,05,01R,10:30,2026-09-19T10:48:23.325309+09:00,1034,逃　げ,1,小池　　修平,"1'48""0",6,長田　　頼宗,"1'49""4",2,丸野　　一樹,"1'51""1",3,池永　　　太,"1'52""5",5,山田　　哲也,,4,松山　　将吾,,1,0.07,,2,0.17,,6,0.05,,3,0.04,,4,0.11,,5,0.09,,2,1,1.0,2.0,24.0,23.0
202609191301,2026-09-19,13,01R,10:34,2026-09-19T10:50:19.483493+09:00,1037,まくり差し,3,山本　　隆幸,"1'49""7",1,河内　　一馬,"1'51""4",2,南野　　利騰,"1'52""6",6,浦田　　信義,"1'53""4",4,今出　　晋二,"1'54""9",5,伏見　　俊介,"1'58""0",1,0.08,,2,0.16,,3,0.17,,4,0.13,,5,0.12,,6,0.09,,1,3,3.0,0.0,31.3,24.9
202609191701,2026-09-19,17,01R,10:40,2026-09-19T10:56:18.003146+09:00,1043,逃　げ,1,平高　　奈菜,"1'51""0",3,加藤　　奈月,"1'52""7",2,向井田　真紀,"1'53""6",5,水野　　望美,"1'54""4",4,濱崎　寿里矢,"1'55""4",6,宮田　　　栞,"1'57""6",1,0.19,,2,0.2,,3,0.24,,4,0.3,,5,0.36,,6,0.38,,2,5,1.0,1.0,25.0,25.0
202609190201,2026-09-19,02,01R,10:47,2026-09-19T11:02:23.268829+09:00,1050,抜　き,1,中里　　昌志,"1'50""1",4,石川　　哲秀,"1'50""6",2,根岸　　真優,"1'52""9",5,須藤　　隆雄,"1'54""5",3,豊田　　訓靖,,6,林　　　風音,,1,0.09,,2,0.17,,3,0.21,,4,0.06,,5,0.19,,6,0.31,,2,1,1.0,1.0,23.0,23.0
202609191601,2026-09-19,16,01R,10:49,2026-09-19T11:06:23.437974+09:00,1052,逃　げ,1,山本　　修一,"1'51""1",3,津留　浩一郎,"1'52""3",2,瀬川　　大地,"1'53""1",6,寺嶋　　　雄,"1'53""9",5,小澤　　　学,,4,宇野　　博之,,1,0.19,,2,0.2,,3,0.27,,4,0.26,,5,0.31,,6,0.26,,1,4,5.0,5.0,27.0,27.0
202609191406,2026-09-19,14,06R,10:51,2026-09-19T11:08:22.288624+09:00,1055,まくり差し,4,登　　みひ果,"1'48""5",1,赤池　　修平,"1'50""3",6,稲田　　浩二,"1'51""2",3,大西　　隆洋,"1'52""6",5,深川　麻奈美,,2,高山　　弘斗,,1,0.11,,2,0.16,,3,0.12,,4,0.14,,5,0.13,,6,0.08,,1,8,2.0,2.0,26.0,27.0
202609190401,2026-09-19,04,01R,10:53,2026-09-19T11:10:28.299720+09:00,1056,まくり,6,久永　　祥平,"1'50""7",1,桑原　　　啓,"1'52""8",4,藤井　　太雅,"1'54""0",3,國弘　　翔平,"1'55""1",5,平岡　　重典,,2,森作　　広大,,1,0.18,,2,0.18,,3,0.14,,4,0.18,,5,0.18,,6,0.09,,3,1,4.0,3.0,23.0,25.0
202609190502,2026-09-19,05,02R,10:57,2026-09-19T11:14:20.700758+09:00,1101,逃　げ,1,中野　　次郎,"1'48""2",5,森高　　一真,"1'49""6",6,永井　　彪也,"1'49""9",4,佐藤　　　翼,"1'51""9",3,坂口　　　周,,2,船岡　洋一郎,,1,0.06,,2,0.18,,3,0.17,,4,0.12,,5,0.09,,6,0.09,,2,,0.0,2.0,24.0,23.0
202609191302,2026-09-19,13,02R,11:00,2026-09-19T11:16:22.200684+09:00,1103,逃　げ,1,浮田　　圭浩,"1'50""4",5,村岡　　賢人,"1'51""4",3,渡　　　修平,"1'52""6",2,服部　　幸男,"1'54""7",4,加藤　　雅之,"1'55""7",6,谷口　　健一,"1'57""9",1,0.19,,2,0.23,,3,0.18,,4,0.17,,5,0.16,,6,0.17,,1,1,3.0,0.0,31.7,25.2
202609192306,2026-09-19,23,06R,11:02,2026-09-19T11:18:25.322830+09:00,1106,逃　げ,1,宮地　　博士,"1'50""1",5,藤田　　浩人,"1'50""8",2,向井田　直弥,"1'52""4",6,古結　　　宏,"1'53""2",4,橋本　　年光,"1'54""6",3,吉永　　泰弘,"1'55""9",1,0.11,,2,0.05,,3,0.14,,4,0.15,,5,0.14,,6,0.11,,3,1,5.0,5.0,23.0,25.0
202609191702,2026-09-19,17,02R,11:07,2026-09-19T11:24:27.358689+09:00,1110,差　し,2,原田　　佑実,"1'50""4",1,鈴木　　成美,"1'52""3",6,藤原　　早菜,"1'52""3",3,村上　　奈穂,"1'54""1",4,石井　　裕美,"1'56""0",5,白石　　有美,"1'56""2",1,0.12,,2,0.11,,3,0.16,,4,0.1,,5,0.09,,6,0.13,,2,,0.0,1.0,25.0,25.0
202609190202,2026-09-19,02,02R,11:16,2026-09-19T11:30:29.600890+09:00,1119,差　し,2,福田　　雅一,"1'49""4",5,田中　信一郎,"1'50""4",4,平田　さやか,"1'51""1",1,長谷川　親王,"1'52""8",3,柘植　　政浩,,6,板頭　　里緒,,1,0.07,,2,0.1,,3,0.05,,4,0.06,,5,0.07,,6,0.08,,2,1,2.0,1.0,24.0,23.0
202609190301,2026-09-19,03,01R,11:14,2026-09-19T11:32:20.603668+09:00,1117,逃　げ,1,高橋　　直哉,"1'53""0",2,豊田　　祥生,"1'54""9",5,眞崎　　武蔵,"1'56""1",3,有山　　　望,"1'57""0",4,竹内　　　来,,6,東口　　　晃,,1,0.05,,2,0.09,,3,0.12,,4,0.26,,5,0.41,,6,0.24,,2,1,4.0,5.0,23.0,24.0
202609191602,2026-09-19,16,02R,11:18,2026-09-19T11:38:18.756309+09:00,1121,抜　き,3,重富　　伸也,"1'54""2",4,福田　　　理,"1'57""3",2,松本　　真広,"2'01""0",6,木幡　　純也,"2'02""6",1,齋藤　　真之,,,,,1,0.23,,2,0.21,,3,0.12,,4,0.09,,5,0.07,,6,0.1,,1,4,5.0,5.0,27.0,27.0
202609191407,2026-09-19,14,07R,11:20,2026-09-19T11:38:18.756309+09:00,1124,差　し,2,上田　　紗奈,"1'48""0",1,鈴木　　雅希,"1'50""4",6,竹井　　貴史,"1'51""8",5,平野　　和明,"1'52""8",4,藤山　　湧太,,3,小野　　勇作,,1,0.14,,2,0.12,,3,0.18,,4,0.16,,5,0.18,,6,0.16,,1,8,2.0,2.0,26.0,27.0
202609190402,2026-09-19,04,02R,11:22,2026-09-19T11:40:25.186662+09:00,1125,まくり,3,大場　　広孝,"1'51""0",5,國崎　　良春,"1'52""5",6,濱崎　　　誠,"1'53""4",1,金山　　立樹,"1'53""5",2,渡辺　　空依,,4,内山　　文典,,1,0.11,,2,0.06,,3,0.07,,4,0.04,,5,0.07,,6,0.09,,3,1,3.0,3.0,23.0,25.0
202609190503,2026-09-19,05,03R,11:27,2026-09-19T11:44:24.899013+09:00,1131,まくり差し,4,佐藤　隆太郎,"1'47""2",1,村上　　　遼,"1'49""0",5,須藤　　博倫,"1'50""1",6,松田　大志郎,"1'51""2",2,瓜生　　正義,,3,秦　　　英悟,,1,0.02,,2,0.17,,3,0.14,,4,0.04,,5,0.09,,6,0.11,,2,,0.0,2.0,24.0,23.0
202609191303,2026-09-19,13,03R,11:31,2026-09-19T11:48:23.781329+09:00,1134,逃　げ,1,浜崎　　準也,"1'49""7",2,後藤　　正宗,"1'50""9",6,和田　　兼輔,"1'53""2",5,貫地谷　直人,"1'54""1",3,宇土　　泰就,"1'54""8",4,原田　　朱理,"1'55""0",1,0.15,,2,0.16,,3,0.15,,6,0.09,,4,0.26,,5,0.22,,2,3,2.0,0.0,31.6,25.2
202609192307,2026-09-19,23,07R,11:33,2026-09-19T11:50:30.920794+09:00,1137,逃　げ,1,松尾　　宣邦,"1'49""6",4,島川　　光男,"1'50""4",6,三角　　哲男,"1'52""1",3,奥平　　拓也,"1'54""1",2,深山　　祐二,"1'55""3",5,鈴木　　雄登,"1'56""7",1,0.05,,2,0.07,,3,0.09,,4,0.09,,5,0.06,,6,0.07,,2,1,4.0,4.0,23.0,25.0
202609190601,2026-09-19,06,01R,11:35,2026-09-19T11:52:24.718794+09:00,1139,差　し,2,橋本　　久和,"1'49""9",1,加藤　　　翔,"1'52""5",3,山一　　鉄也,"1'53""9",6,上村　　宏太,"1'55""0",5,田中　太一郎,,4,早川　　颯太,,1,0.13,,2,0.17,,3,0.18,,4,0.44,,5,0.33,,6,0.31,,2,5,3.0,1.0,26.0,27.0
202609191703,2026-09-19,17,03R,11:37,2026-09-19T11:54:18.459643+09:00,1140,まくり,4,海野　ゆかり,"1'50""1",3,堀之内紀代子,"1'52""0",6,藤田　　美代,"1'53""8",5,野田　　亜湖,"1'55""0",2,永井　　聖美,"1'55""4",1,池　　　千夏,"1'56""2",1,0.19,,2,0.23,,3,0.31,,4,0.14,,5,0.15,,6,0.17,,2,,0.0,1.0,26.0,25.0
202609190302,2026-09-19,03,02R,11:41,2026-09-19T12:00:52.330581+09:00,1144,まくり,6,戸塚　　邦好,"1'51""8",3,角山　　雄哉,"1'54""3",5,鶴本　　崇文,"1'55""6",2,増田　　　進,"1'56""8",4,塚越　　陸斗,,1,森　　　雄利,,1,0.38,,2,0.15,,3,0.12,,4,0.32,,5,0.25,,6,0.19,,3,1,4.0,5.0,23.0,24.0
202609190203,2026-09-19,02,03R,11:45,2026-09-19T12:00:52.330581+09:00,1148,逃　げ,1,岩橋　　裕馬,"1'49""3",4,西野　　雄貴,"1'50""1",3,伊藤　　雄二,"1'52""5",6,黒崎　　竜也,"1'53""0",2,盛本　　真輔,,5,松尾　　　拓,,1,0.12,,2,0.18,,3,0.19,,4,0.15,,5,0.19,,6,0.24,,2,1,1.0,1.0,24.0,24.0
202609191603,2026-09-19,16,03R,11:48,2026-09-19T12:08:25.801530+09:00,1153,抜　き,5,野村　　羽玖,"1'49""3",1,塩崎　　優司,"1'51""3",3,山地　　正樹,"1'52""3",6,村田　　修次,"1'53""4",4,松下　　直也,,2,三宅　　　潤,,1,0.23,,2,0.17,,3,0.13,,4,0.07,,6,0.07,,5,0.09,,1,4,2.0,3.0,27.0,27.0
202609190403,2026-09-19,04,03R,11:52,2026-09-19T12:08:25.801530+09:00,1155,逃　げ,1,渡邉　　睦広,"1'50""0",3,富田　　恕生,"1'51""7",2,馬場　　　剛,"1'53""4",5,山口　　修路,"1'54""8",6,熊倉　　幹太,,4,伊藤　　尚汰,,1,0.22,,2,0.16,,3,0.2,,4,0.16,,5,0.18,,6,0.14,,2,1,2.0,3.0,23.0,25.0
202609191408,2026-09-19,14,08R,11:50,2026-09-19T12:10:37.730302+09:00,1153,逃　げ,1,久田　　　武,"1'49""5",3,佐口　　達也,"1'50""6",6,佃　　　來紀,"1'52""0",2,小澤　　和也,"1'52""6",4,久富　　政弘,,5,日隈　　　茜,,1,0.07,,2,0.13,,3,0.14,,4,0.22,,5,0.17,,6,0.28,,1,8,2.0,2.0,27.0,27.0
202609191304,2026-09-19,13,04R,11:55,2026-09-19T12:16:26.083997+09:00,1158,差　し,2,山下　　和彦,"1'49""6",5,萩原　　秀人,"1'51""3",4,関口　　智久,"1'52""1",1,酒井　　陽祐,"1'53""2",6,今村　天次朗,"1'54""6",3,村田　　　敦,"1'55""4",1,0.17,,2,0.19,,3,0.14,,4,0.13,,5,0.09,,6,0.09,,2,3,6.0,4.0,31.2,25.2
202609190504,2026-09-19,05,04R,11:57,2026-09-19T12:16:26.083997+09:00,1201,差　し,2,太田　　和美,"1'47""9",4,吉田　　拡郎,"1'49""2",1,安河内　　将,"1'51""5",5,杉山　　正樹,"1'51""7",6,石渡　　鉄兵,,3,原田　　幸哉,,1,0.16,,2,0.15,,3,0.08,,4,0.01,,5,0.07,,6,0.12,,3,5,1.0,2.0,24.0,23.0
202609190602,2026-09-19,06,02R,12:00,2026-09-19T12:16:26.083997+09:00,1204,まくり差し,3,有賀　　達也,"1'50""3",2,小坂　　宗司,"1'51""2",4,松下　　知幸,"1'53""9",5,江本　　真治,"1'55""2",1,高橋　　　勲,,6,下河　　誉史,,1,0.39,,2,0.12,,3,0.2,,4,0.27,,6,0.32,,5,0.37,,2,5,2.0,1.0,27.0,27.0
202609192308,2026-09-19,23,08R,12:03,2026-09-19T12:20:23.141423+09:00,1207,まくり差し,3,藤田　　俊祐,"1'50""6",6,寺本　　重宣,"1'51""9",1,山下　　智己,"1'53""1",4,中島　　友和,"1'54""3",5,羽野　　　諒,"1'55""6",2,中嶋　誠一郎,"1'57""3",1,0.13,,2,0.12,,3,0.06,,4,0.12,,5,0.07,,6,0.09,,3,1,5.0,5.0,24.0,25.0
202609191704,2026-09-19,17,04R,12:07,2026-09-19T12:24:23.136677+09:00,1210,まくり,3,今井　　美亜,"1'49""8",4,角　　ひとみ,"1'52""1",1,山崎　小葉音,"1'52""7",2,橋谷田　佳織,"1'55""8",6,高木　　茉白,"1'57""1",5,長野　　未来,"1'59""7",1,0.17,,2,0.31,,3,0.31,,4,0.26,,5,0.31,,6,0.29,,2,5,1.0,1.0,26.0,25.0
202609190303,2026-09-19,03,03R,12:08,2026-09-19T12:26:19.467780+09:00,1211,差　し,2,佐々木　大河,"1'52""8",5,坪内　　　実,"1'53""8",4,佐竹　　太一,"1'55""0",3,中村　　泰平,"1'55""3",1,宮崎　　奏磨,,6,松本　　庸平,,1,0.16,,2,0.11,,3,0.13,,4,0.22,,5,0.15,,6,0.24,,3,1,4.0,5.0,22.0,24.0
202609190204,2026-09-19,02,04R,12:14,2026-09-19T12:28:21.275539+09:00,1217,差　し,2,武富　　智亮,"1'49""6",1,杉村　　賢也,"1'51""7",6,大場　　　敏,"1'52""8",4,坂本　　雄紀,"1'54""5",3,中嶋　　世奈,,5,笠置　　博之,,1,0.16,,2,0.1,,3,0.21,,6,0.17,,4,0.18,,5,0.31,,3,2,2.0,1.0,24.0,24.0
202609191604,2026-09-19,16,04R,12:17,2026-09-19T12:38:21.930410+09:00,1221,逃　げ,1,上田　　健太,"1'50""1",2,寺島　　吉彦,"1'51""3",5,岡田　　憲行,"1'52""6",3,松本　　一毅,"1'54""4",4,品田　　直樹,,6,榮田　　将彦,,1,0.19,,2,0.18,,3,0.22,,4,0.15,,5,0.12,,6,0.11,,1,5,3.0,3.0,28.0,27.0
202609191305,2026-09-19,13,05R,12:20,2026-09-19T12:38:21.930410+09:00,1223,まくり,4,近江　　翔吾,"1'49""5",5,倉富　　大誠,"1'51""9",1,三苫　　晃幸,"1'53""1",6,花田　　和明,"1'54""7",2,磯村　　　匠,"1'54""8",3,松井　　賢治,"1'55""1",1,0.24,,6,0.25,,2,0.34,,3,0.28,,4,0.19,,5,0.23,,2,2,3.0,0.0,31.3,25.3
202609190404,2026-09-19,04,04R,12:22,2026-09-19T12:40:17.258246+09:00,1225,恵まれ,2,永井　　亮次,"1'50""2",3,濱本　　優一,"1'51""0",5,佐藤　　大騎,"1'53""6",4,折下　　寛法,"1'54""3",6,篠原　　飛翔,,,,,1,-0.01,F,2,0.04,,3,0.04,,4,0.07,,5,0.06,,6,0.07,,3,1,3.0,3.0,23.0,25.0
202609190603,2026-09-19,06,03R,12:25,2026-09-19T12:44:19.649277+09:00,1229,まくり,2,後藤　　翔之,"1'50""2",6,西野　　翔太,"1'52""0",3,武重　　雄介,"1'53""0",4,西丸　　敦基,"1'53""0",5,廣瀬　　篤哉,,1,川口　　貴久,,1,0.26,,2,0.16,,6,0.11,,3,0.12,,4,0.11,,5,0.17,,2,5,2.0,1.0,27.0,27.0
202609190505,2026-09-19,05,05R,12:27,2026-09-19T12:44:19.649277+09:00,1231,逃　げ,1,菅　　　章哉,"1'48""0",4,椎名　　　豊,"1'49""6",3,前田　　将太,"1'51""4",2,上條　　暢嵩,"1'51""6",6,黒野　　元基,,5,中山　　　将,,1,0.13,,2,0.17,,3,0.15,,4,0.15,,5,0.18,,6,0.16,,3,,0.0,2.0,22.0,24.0
202609192309,2026-09-19,23,09R,12:33,2026-09-19T12:50:29.043854+09:00,1237,抜　き,4,佐々木　翔斗,"1'50""9",6,沼田　　大都,"1'52""0",2,柴田　　大輔,"1'52""0",1,都築　　正治,"1'54""4",3,江藤　　敦宏,"1'55""6",5,嶋田　　貴支,"1'57""9",1,0.21,,2,0.26,,3,0.21,,4,0.16,,5,0.17,,6,0.12,,2,2,5.0,5.0,24.0,25.0
202609191409,2026-09-19,14,09R,12:30,2026-09-19T12:52:20.606027+09:00,1234,逃　げ,1,栗山　　繁洋,"1'55""7",3,西村　　秀樹,"1'56""9",6,渡邉　　雄朗,"2'00""4",5,石岡　　将太,"2'03""7",4,中井　　俊祐,,,,,1,0.14,,2,0.14,,3,0.14,,4,0.17,,5,0.24,,6,0.23,,1,8,4.0,4.0,27.0,27.0
202609190304,2026-09-19,03,04R,12:35,2026-09-19T12:52:20.606027+09:00,1238,まくり差し,4,北野　　輝季,"1'51""4",3,中野　　夢斗,"1'52""8",6,平田　健之佑,"1'54""1",5,鐘ヶ江　真司,"1'55""2",2,田中　　　堅,,1,山口　　隆史,,1,0.26,,2,0.19,,3,0.12,,4,0.09,,5,0.15,,6,0.13,,3,1,4.0,5.0,22.0,24.0
202609191705,2026-09-19,17,05R,12:37,2026-09-19T12:54:21.131719+09:00,1240,まくり差し,5,黒澤　めぐみ,"1'49""7",1,高田　ひかる,"1'51""4",4,落合　　直子,"1'52""6",2,冨名腰　桃奈,"1'53""6",6,滝沢　　織寧,"1'56""2",3,岩崎　　麗子,"1'57""9",1,0.22,,2,0.27,,3,0.2,,4,0.09,,5,0.08,,6,0.02,,2,5,1.0,1.0,26.0,25.0
202609190205,2026-09-19,02,05R,12:44,2026-09-19T12:58:21.966375+09:00,1247,逃　げ,1,青木　幸太郎,"1'49""1",3,森　　　弘行,"1'51""3",4,上野　真之介,"1'52""2",2,山本　　光雄,"1'54""2",6,林　　　恵祐,,5,根岸　　真優,,1,0.04,,2,0.08,,3,0.06,,4,0.12,,5,0.07,,6,0.12,,3,,0.0,0.0,23.0,24.0
202609191605,2026-09-19,16,05R,12:47,2026-09-19T13:04:17.564329+09:00,1252,差　し,2,笠原　　　亮,"1'50""4",3,土山　　卓也,"1'52""2",1,安藤　　裕貴,"1'53""4",5,沢田　　昭宏,"1'54""5",6,東　　　健介,,4,杉山　　太陽,,1,0.1,,2,0.16,,3,0.18,,4,0.22,,5,0.23,,6,0.28,,1,5,3.0,3.0,28.0,27.0
202609191306,2026-09-19,13,06R,12:50,2026-09-19T13:06:23.609593+09:00,1253,逃　げ,1,榎　　　幸司,"1'50""2",6,河合　　三弘,"1'51""5",3,浦田　　信義,"1'52""7",4,重成　　一人,"1'53""6",2,渡　　　修平,"1'53""9",5,本村　　　大,"1'56""6",1,0.29,,2,0.26,,3,0.24,,4,0.19,,5,0.28,,6,0.12,,2,3,2.0,0.0,32.0,25.3
202609190405,2026-09-19,04,05R,12:52,2026-09-19T13:14:20.465558+09:00,1255,まくり差し,4,本吉　　正樹,"2'00""6",5,宮迫　　暢彦,"2'03""1",6,河野　　主樹,"2'06""0",2,小野　　京平,"2'11""2",,,,,,,1,0.17,,2,0.18,,3,0.13,,4,0.16,,5,0.14,,6,0.21,,3,1,4.0,3.0,23.0,25.0
202609190604,2026-09-19,06,04R,12:55,2026-09-19T13:14:20.465558+09:00,1259,差　し,4,近藤　雄一郎,"1'51""0",1,川上　　　剛,"1'52""7",5,寳田　　亮治,"1'53""2",6,熊本　　英一,"1'54""5",3,野中　　義生,,2,本橋　　克洋,,1,0.16,,2,0.19,,3,0.14,,4,0.22,,5,0.22,,6,0.29,,2,5,2.0,1.0,27.0,27.0
202609190506,2026-09-19,05,06R,12:57,2026-09-19T13:14:20.465558+09:00,1301,まくり,3,深谷　　知博,"1'46""4",2,長田　　頼宗,"1'48""8",4,西山　　貴浩,"1'50""4",5,原田　　篤志,"1'50""9",1,中澤　　和志,,6,河野　　　大,,1,0.09,,2,0.08,,3,0.09,,4,0.04,,5,0.05,,6,0.05,,3,7,1.0,2.0,22.0,24.0
202609191410,2026-09-19,14,10R,13:04,2026-09-19T13:22:22.559630+09:00,1308,逃　げ,1,稲田　　浩二,"1'48""9",3,岩崎　　芳美,"1'49""9",2,馬袋　　義則,"1'51""5",4,村越　　　篤,"1'53""5",5,渡邊　　裕貴,,6,中尾　　彩香,,1,0.1,,2,0.11,,3,0.1,,4,0.11,,5,0.12,,6,0.1,,1,8,3.0,3.0,28.0,27.0
202609191706,2026-09-19,17,06R,13:07,2026-09-19T13:26:19.603342+09:00,1310,まくり差し,4,小林　　愛実,"1'59""2",2,後藤　　美翼,"2'02""6",1,西岡　　育未,"2'06""2",6,菅野　はやか,"2'09""0",5,宮田　　　栞,"2'12""9",,,,1,0.14,,2,0.1,,3,0.05,,4,0.05,,6,0.03,,5,0.31,,2,5,1.0,1.0,26.0,25.0
202609192310,2026-09-19,23,10R,13:11,2026-09-19T13:26:19.603342+09:00,1315,抜　き,2,百武　　　翔,"1'50""1",1,渡邊　雄一郎,"1'51""0",3,服部　　達哉,"1'52""5",4,藤田　　浩人,"1'54""1",5,鈴谷　　一平,"1'56""8",6,鳥飼　　　眞,"2'11""4",1,0.08,,2,0.16,,3,0.09,,4,0.19,,5,0.23,,6,0.21,,2,1,4.0,4.0,24.0,25.0
202609190305,2026-09-19,03,05R,13:02,2026-09-19T13:28:23.898621+09:00,1305,逃　げ,1,齊藤　　　廉,"1'51""8",2,山本　　英志,"1'53""3",5,山口　　達也,"1'54""2",6,吉田　　宗弘,"1'55""8",3,中野　　孝二,,4,長尾　京志郎,,1,0.09,,2,0.12,,3,0.07,,4,0.12,,5,0.11,,6,0.14,,3,1,4.0,5.0,22.0,24.0
202609190206,2026-09-19,02,06R,13:14,2026-09-19T13:28:23.898621+09:00,1317,差　し,2,下寺　　秀和,"1'49""1",1,石川　　哲秀,"1'50""3",3,片岡　　雅裕,"1'51""3",4,小松　　卓司,"1'52""1",5,長谷川　親王,,6,横川　　聖志,,1,0.1,,2,0.14,,3,0.2,,4,0.17,,5,0.19,,6,0.18,,3,,0.0,0.0,22.0,24.0
