レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202607241404,2026-07-24,14,04R,10:04,2026-07-24T09:54:23.466418+09:00,21.0,10.5,54.4,14.6,32.7,39.6,73.4,39.1,14.9,34.3,33.3,12.2,79.6,92.5,52.9,48.4,23.0,59.3,21.0,70.7,52.0,76.9,223.3,109.5,189.8,160.4,169.9,277.7,140.6,203.3,307.8,207.0,355.8,138.8,455.5,599.4,144.1,196.3,147.9,474.5,101.6,158.1,99.9,214.8,146.0,93.3,66.9,165.0,227.7,122.4,277.7,271.1,196.3,91.8,203.3,264.8,253.0,271.1,379.6,379.6,48.0,113.8,46.4,29.8,84.9,135.5,237.2,88.2,247.5,199.8,207.0,232.4,138.8,227.7,169.9,115.0,70.7,126.5,140.6,162.6,183.6,153.9,100.7,101.6,334.9,133.9,334.9,474.5,271.1,153.9,189.8,474.5,219.0,455.5,379.6,325.3,307.8,438.0,632.7,455.5,73.9,227.7,86.2,271.1,153.9,406.7,242.3,711.7,392.7,421.8,271.1,495.1,130.9,177.9,367.3,421.8,406.7,711.7,876.0,599.4
202607242105,2026-07-24,21,05R,10:16,2026-07-24T10:06:26.178907+09:00,9.5,29.1,79.1,12.7,9.5,22.3,65.5,8.7,40.4,33.3,69.6,45.7,100.0,173.6,194.7,221.7,20.6,18.8,71.0,208.8,45.4,84.2,184.7,57.6,85.7,151.7,252.8,96.7,131.0,203.0,369.5,173.6,228.7,400.3,686.3,436.7,94.8,133.4,203.0,464.9,36.2,71.7,116.2,30.7,88.9,138.5,240.2,113.4,148.5,137.2,300.2,131.0,252.8,327.5,423.9,360.3,59.5,126.4,137.2,379.3,119.1,150.1,151.7,98.7,165.6,225.2,252.8,187.1,194.7,232.4,262.0,173.6,139.9,232.4,266.9,141.3,160.1,203.0,294.1,277.1,369.5,306.6,252.8,423.9,464.9,369.5,576.5,655.1,369.5,360.3,436.7,1108,221.7,720.6,464.9,514.7,600.5,758.6,1029,554.3,62.9,67.9,208.8,655.1,108.3,189.6,205.9,554.3,94.2,197.4,277.1,600.5,221.7,192.1,313.3,411.8,655.1,686.3,900.8,758.6
202607242305,2026-07-24,23,05R,10:27,2026-07-24T10:18:24.845807+09:00,32.8,32.9,68.6,111.1,29.1,7.0,36.0,46.8,16.7,5.4,13.1,18.9,125.5,121.9,70.7,200.6,253.0,189.4,121.5,287.3,172.9,164.5,423.8,434.6,275.6,353.1,470.9,753.4,247.4,342.4,869.3,691.9,721.3,546.8,1356,1304,916.3,1130,1304,1784,110.4,37.9,140.1,192.6,232.2,218.7,458.1,1130,50.6,177.5,143.6,201.8,349.5,403.6,245.6,997.2,594.8,664.8,477.5,1130,38.8,11.6,18.9,28.9,108.3,180.3,197.1,235.4,30.7,143.6,73.7,108.6,42.3,173.8,92.3,62.9,85.8,360.6,253.0,121.5,326.0,364.5,214.5,477.5,737.0,639.7,418.5,1210,498.6,652.0,297.4,1059,230.6,770.5,313.9,372.5,721.3,1474,1412,464.4,484.3,691.9,385.2,1169,1169,1412,584.5,1541,737.0,1614,584.5,1210,429.1,788.4,770.5,477.5,1169,1994,1784,594.8
202607241405,2026-07-24,14,05R,10:30,2026-07-24T10:20:25.190690+09:00,41.0,50.3,82.8,99.1,26.7,52.5,23.3,45.7,117.2,121.6,131.6,117.2,98.0,47.3,155.0,135.4,218.4,178.0,181.3,300.4,49.8,208.9,155.0,200.2,139.3,157.5,100.1,155.0,320.4,300.4,331.5,300.4,223.5,103.3,505.9,457.7,223.5,300.4,259.8,480.6,29.9,33.1,12.6,29.0,62.4,59.3,27.5,67.2,75.1,64.9,37.7,54.9,15.0,21.3,26.5,15.3,72.2,115.8,72.8,43.6,111.7,150.2,123.2,131.6,213.6,178.0,252.9,155.0,184.8,184.8,97.1,165.7,213.6,282.7,100.1,123.2,184.8,192.2,192.2,369.7,141.3,49.0,133.5,152.5,228.8,91.5,331.5,282.7,55.2,76.2,89.0,98.0,252.9,640.9,145.6,320.4,400.5,356.0,147.9,310.1,162.9,343.3,300.4,505.9,505.9,369.7,320.4,600.8,343.3,356.0,204.5,282.7,384.5,259.8,400.5,480.6,565.5,873.9,300.4,565.5
202607241301,2026-07-24,13,01R,10:36,2026-07-24T10:26:25.965376+09:00,25.0,73.9,213.0,84.0,17.4,13.7,66.7,13.8,117.7,43.7,229.4,56.1,397.7,210.5,483.7,344.2,111.1,37.7,116.2,220.9,98.3,208.1,497.1,192.4,100.5,275.3,129.7,218.2,319.6,337.7,596.6,380.8,596.6,72.4,942.0,942.0,426.1,275.3,406.7,852.3,30.8,13.6,64.6,12.2,70.1,80.6,59.0,73.0,21.6,63.9,74.5,14.1,178.9,241.8,198.8,152.9,18.4,53.4,16.4,75.8,245.1,127.8,406.7,194.5,389.1,319.6,639.2,372.8,124.2,218.2,293.4,66.5,542.3,852.3,497.1,426.1,218.2,198.8,93.2,458.9,688.4,426.1,639.2,406.7,852.3,139.8,1052,1052,559.3,135.5,416.2,331.4,852.3,778.2,397.7,458.9,942.0,1118,372.8,559.3,158.3,55.0,132.5,215.6,372.8,235.5,372.8,596.6,50.2,112.5,49.8,135.5,172.1,226.5,94.7,397.7,559.3,715.9,365.2,542.3
202607240801,2026-07-24,08,01R,10:40,2026-07-24T10:30:31.978803+09:00,9.3,11.3,17.7,13.9,13.7,22.3,29.7,25.9,18.2,33.0,29.9,24.4,31.7,56.5,54.6,41.5,22.5,46.8,34.5,47.5,87.1,89.6,97.9,68.3,202.2,396.0,500.2,380.1,211.2,413.2,380.1,475.2,279.5,413.2,559.0,432.0,113.1,475.2,250.1,306.5,105.6,172.8,193.9,123.4,158.4,231.8,352.0,339.4,297.0,380.1,1056,396.0,226.2,365.5,365.5,316.8,206.6,452.5,221.0,380.1,126.7,198.0,125.0,113.1,226.2,475.2,559.0,297.0,339.4,475.2,559.0,475.2,166.7,678.8,327.7,190.0,111.8,237.6,396.0,163.8,179.3,186.3,226.2,62.5,316.8,594.0,500.2,279.5,250.1,452.5,731.0,594.0,316.8,594.0,864.0,452.5,67.8,279.5,500.2,380.1,74.2,198.0,163.8,64.6,110.5,396.0,297.0,380.1,279.5,380.1,396.0,633.6,202.2,231.8,413.2,475.2,70.9,316.8,528.0,452.5
202607242106,2026-07-24,21,06R,10:44,2026-07-24T10:34:21.441110+09:00,19.8,71.8,35.2,98.4,15.2,24.8,9.7,50.8,77.2,76.9,74.9,198.1,63.3,26.6,95.2,124.8,177.6,239.3,337.9,374.6,80.9,152.5,142.4,282.5,89.7,168.9,70.9,218.1,198.1,220.9,257.2,359.0,132.5,117.2,374.6,391.7,574.5,538.5,441.9,689.4,19.5,31.4,9.9,52.5,53.5,82.8,41.2,115.6,80.5,85.3,44.7,97.3,16.9,33.3,40.1,32.1,181.4,202.7,198.1,93.1,210.1,149.8,135.7,167.3,265.1,253.4,282.5,359.0,195.8,242.7,130.5,212.7,101.3,177.6,117.2,108.3,261.1,282.5,313.3,232.9,181.4,54.8,174.0,239.3,164.1,126.7,506.9,522.2,47.2,84.9,134.6,137.8,165.7,522.2,220.9,297.1,383.0,615.5,246.2,453.5,344.7,783.4,907.1,1077,689.4,555.9,689.4,1149,638.3,749.3,383.0,359.0,907.1,478.7,749.3,492.4,615.5,1325,430.8,615.5
202607240201,2026-07-24,02,01R,10:47,2026-07-24T10:38:22.829102+09:00,12.4,13.3,13.2,35.4,24.8,47.2,38.8,126.8,35.8,61.7,39.6,116.5,32.4,62.6,53.3,98.9,134.8,219.0,237.3,235.1,24.8,20.3,20.4,54.4,51.2,77.4,74.0,168.6,47.9,84.5,56.3,123.2,44.6,89.3,81.6,114.4,176.7,291.2,251.2,208.3,60.8,103.3,70.2,174.3,77.9,97.4,87.1,183.0,140.8,137.7,134.1,261.5,99.3,92.8,121.4,180.4,406.8,388.3,360.9,328.5,59.7,130.1,76.7,174.3,87.4,137.7,72.8,167.5,233.0,184.3,149.0,261.5,88.0,93.8,149.8,142.3,244.1,197.1,324.4,224.8,67.4,143.9,110.9,248.8,80.8,151.6,157.2,179.2,176.7,181.7,258.8,328.5,143.9,197.1,316.4,328.5,332.8,230.9,569.5,388.3,235.1,625.1,610.2,674.4,341.7,692.7,466.0,376.9,732.3,776.6,441.9,610.2,753.8,400.4,610.2,492.8,596.0,316.4,657.1,441.9
202607242306,2026-07-24,23,06R,10:54,2026-07-24T10:44:21.083253+09:00,27.7,27.6,79.8,54.6,46.5,65.2,159.6,144.1,43.7,76.3,115.3,93.5,126.5,211.8,175.9,357.8,142.1,259.4,230.6,370.6,26.6,20.1,62.9,40.5,40.8,19.7,112.8,45.7,20.6,14.7,82.3,12.2,199.5,185.3,314.5,230.6,123.5,104.8,34.0,334.7,75.7,125.0,159.6,167.3,106.9,42.8,162.1,119.2,207.5,60.6,399.1,115.3,241.3,203.5,399.1,494.2,305.2,172.9,170.1,576.5,40.8,91.0,117.9,64.0,45.9,25.0,128.1,16.9,144.1,59.6,195.8,76.8,175.9,188.7,192.1,119.2,134.7,37.3,123.5,296.5,241.3,253.1,273.1,296.5,314.5,225.6,182.0,494.2,518.9,305.2,296.5,864.8,370.6,798.3,399.1,494.2,518.9,576.5,1153,943.5,157.2,518.9,399.1,798.3,266.1,185.3,62.9,357.8,399.1,220.8,203.5,1297,370.6,82.3,225.6,864.8,943.5,741.3,1297,1297
202607241701,2026-07-24,17,01R,10:56,2026-07-24T10:46:23.366124+09:00,5.8,39.3,28.1,15.3,10.8,46.6,20.1,12.6,52.2,62.4,75.6,63.2,42.9,47.0,90.6,31.6,18.7,21.4,65.5,32.4,65.2,127.6,114.7,82.4,164.9,333.6,201.1,287.8,206.7,341.4,587.2,407.8,248.8,293.6,1129,253.1,149.8,305.8,312.3,299.6,75.6,151.3,84.3,62.4,126.5,233.0,163.1,193.1,229.4,305.8,524.3,431.8,156.1,149.8,419.4,168.7,97.8,212.7,248.8,195.7,149.8,240.6,170.7,203.9,212.7,419.4,358.0,262.1,396.8,431.8,444.9,473.6,240.6,611.7,407.8,257.5,212.7,244.7,543.7,326.2,166.8,168.7,172.7,88.9,215.9,219.1,667.3,253.1,201.1,203.9,473.6,293.6,333.6,772.7,564.6,376.4,122.3,233.0,266.9,407.8,57.1,71.2,176.8,98.5,114.7,212.7,326.2,244.7,161.3,326.2,341.4,396.8,367.0,358.0,506.2,564.6,127.6,248.8,266.9,376.4
202607241406,2026-07-24,14,06R,10:59,2026-07-24T10:50:27.840717+09:00,70.7,187.4,195.2,206.0,64.4,79.4,71.0,105.3,201.5,128.4,143.1,210.6,185.6,120.9,180.2,297.5,426.0,328.8,390.5,815.0,189.3,264.0,275.6,347.1,193.2,41.7,45.1,334.7,210.6,66.2,83.3,374.9,297.5,59.3,101.3,1041,426.0,604.7,435.9,1041,109.6,69.4,68.4,191.2,120.9,24.0,20.8,210.6,62.9,19.4,7.3,113.6,54.8,17.1,7.8,117.1,302.3,374.9,249.9,390.5,208.3,193.2,180.2,243.4,334.7,63.9,93.2,275.6,137.8,47.2,14.7,191.2,167.3,73.5,20.0,183.7,267.8,307.3,328.8,407.5,307.3,165.9,228.6,446.3,328.8,71.0,124.9,669.5,122.5,46.0,16.8,323.2,193.2,105.3,23.6,360.5,815.0,624.9,480.6,624.9,367.5,551.3,721.0,1704,1041,781.1,721.0,1339,520.7,669.5,457.2,1339,749.8,585.8,892.7,937.3,1171,1339,892.7,694.3
