レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
202209172411,大村市議会議長杯,第4日,2022-09-17,ボートレース大村,11R,特別選抜戦,1800,19:58,1,3841,佐々木和,46,徳島,54.0,A1,6.66,54.24,6.15,46.15,28,24.32,80,5.88,1,3,2,6,1,,6,,,,,,,2,4136,江夏 満,42,福岡,54.0,A1,6.67,47.25,7.0,51.43,23,39.02,12,40.0,1,5,6,1,6,,8,,,,,,,3,4315,山崎昂介,38,長崎,52.0,B1,5.56,35.64,5.63,36.99,76,47.62,31,32.5,1,3,5,,,,4,3,,,,,3,4,4177,萬 正嗣,39,群馬,58.0,A2,5.29,29.03,3.45,18.18,30,20.51,76,10.34,6,,,,,,1,2,2,5,,,5,5,3918,深井利寿,48,滋賀,51.0,A1,6.38,44.63,6.96,53.57,17,30.95,70,23.53,3,1,4,3,5,,7,,,,,,,6,4695,尾崎雄二,36,長崎,53.0,B1,4.73,22.22,4.55,23.42,49,40.82,56,50.0,2,,,,,,4,2,5,5,,,4
202209172412,大村市議会議長杯,第4日,2022-09-17,ボートレース大村,12R,優勝戦,1800,20:35,1,4503,上野真之,34,佐賀,53.0,A1,7.41,46.49,8.2,70.0,18,46.67,20,32.5,2,2,1,1,1,,,,,,,,,2,3257,田頭 実,55,福岡,50.0,A1,6.6,51.06,7.75,66.67,52,31.82,74,23.68,1,4,1,2,6,,,,,,,,,3,3522,長溝一生,54,佐賀,53.0,A2,5.07,31.43,6.25,45.0,81,34.88,23,35.14,3,,,,,,4,1,2,1,,,,4,4350,篠崎元志,36,福岡,53.0,A1,6.7,40.63,6.97,48.28,43,44.19,82,29.03,1,1,2,4,2,,,,,,,,,5,4594,谷川祐一,40,滋賀,52.0,A2,6.03,40.74,5.63,40.0,31,40.43,40,39.02,3,2,1,1,5,,,,,,,,,6,5105,富田恕生,23,福岡,53.0,B1,4.09,19.78,3.19,18.75,60,34.88,77,25.64,2,,,,,,2,4,3,2,,,
202209170001,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,1R,朝１戦予選,1800,08:46,1,4652,酒見峻介,37,佐賀,51.0,A2,5.48,38.3,5.48,33.33,16,55.0,91,42.59,1,,,,,,1,5,,,,,7,2,4054,福嶋智之,44,岡山,54.0,B1,5.57,42.11,4.0,25.0,22,22.73,70,32.73,5,2,6,,,,1,0,,,,,,3,5152,丸山祐也,27,福岡,49.0,B2,2.19,5.0,1.48,3.03,21,38.1,52,26.67,5,,,,,,5,6,,,,,,4,4615,板倉敦史,42,東京,53.0,B1,4.8,25.81,4.33,11.11,24,42.86,39,46.85,2,6,5,,,,6,,,,,,,5,3753,河上哲也,51,香川,53.0,B1,3.36,14.49,4.03,22.5,63,30.0,33,31.31,6,,,,,,4,6,,,,,,6,3773,津留浩一,48,長崎,55.0,B1,3.99,21.62,4.07,22.54,66,,68,37.74,6,2,4,,,,8,,,,,,
202209170002,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,2R,モー２ング予,1800,09:11,1,4193,郷原章平,41,福岡,53.0,A1,5.77,40.0,6.3,44.26,61,,78,28.04,3,,,,,,1,2,,,,,9,2,4515,藤田浩人,36,佐賀,54.0,A2,5.75,41.18,5.68,37.37,44,36.36,40,34.58,1,3,4,,,,8,,,,,,,3,3444,香月大介,52,福岡,52.0,B1,3.71,16.67,1.5,,64,,36,28.16,2,,,,,,4,2,,,,,,4,4462,夏山亮平,36,大阪,59.0,B1,4.86,26.42,4.33,33.33,49,9.09,89,37.38,5,,,,,,3,1,,,,,12,5,3701,大西隆洋,49,香川,57.0,B1,4.29,22.64,3.77,15.38,50,42.86,93,43.52,4,,,,,,4,2,,,,,6,6,3616,中村 真,49,福岡,54.0,B2,5.35,40.66,5.48,35.42,25,47.83,61,23.6,4,,,,,,4,2,,,,,
202209170003,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,3R,３ライズ戦予,1800,09:36,1,4725,佐竹太一,36,兵庫,52.0,A2,4.78,26.83,5.44,38.89,60,30.0,31,30.0,3,6,6,,,,1,2,,,,,,2,5009,大賀龍之,25,福岡,56.0,B1,3.87,20.48,2.93,13.33,13,75.0,79,31.73,5,,,,,,1,5,,,,,9,3,4430,永田秀二,36,東京,56.0,A1,6.5,50.36,,,26,15.79,51,38.53,5,1,3,,,,1,0,,,,,,4,4555,富永大一,33,福岡,53.0,B1,4.91,24.44,4.6,30.23,54,50.0,82,30.56,4,,,,,,2,3,,,,,7,5,4934,佐々木翔,26,大阪,54.0,B1,4.41,21.57,,,46100.00,72.0,29.63,524.0,1,1,,,,,,,,,,,,6,5214,田中宏典,23,佐賀,57.0,B2,1.26,,1.35,,52,75.0,59,36.61,5,,,,,,6,6,,,,,
202209170004,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,4R,おは４戦予選,1800,10:02,1,4363,大野芳顕,37,福岡,53.0,A2,5.91,38.46,6.75,49.21,19,6.67,84,31.13,3,,,,,,5,6,,,,,11,2,4263,武重雄介,38,山口,56.0,A1,5.74,41.67,5.0,28.57,14,47.62,88,35.51,4,,,,,,2,6,,,,,12,3,4252,松下哲也,39,福岡,51.0,B1,4.35,22.22,4.62,28.57,57,11.11,32,33.33,5,,,,,,6,4,,,,,8,4,3955,眞田英二,45,徳島,52.0,A2,6.53,47.41,6.49,45.95,28,13.33,63,27.1,4,2,2,,,,9,,,,,,,5,3282,池本輝明,55,広島,52.0,B1,5.19,30.43,5.28,36.17,18,31.82,54,32.71,4,,,,,,1,4,,,,,10,6,3982,福田 理,45,岡山,56.0,B1,4.45,23.08,3.57,20.0,15,19.05,60,28.0,3,,,,,,3,5,,,,,
202209170005,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,5R,予選特賞Ｂ,1800,10:30,1,3578,塩田雄一,49,香川,50.0,B1,4.93,29.91,5.16,33.33,47,27.27,41,43.69,1,1,2,,,,1,1,,,,,,2,4452,松尾 祭,34,香川,50.0,B1,6.03,42.86,5.72,40.0,56,46.15,46,35.78,4,,,,,,3,3,,,,,9,3,4096,石橋道友,40,長崎,53.0,A1,6.95,51.33,7.39,64.18,62,50.0,92,23.36,3,6,3,,,,1,2,,,,,,4,3350,藤本佳史,54,山口,53.0,A2,5.44,41.38,5.65,30.43,45,30.77,64,25.96,3,,,,,,1,4,,,,,10,5,4126,吉本玲緒,43,広島,59.0,B1,3.77,17.17,4.09,21.88,17,5.26,67,25.77,4,6,5,,,,,,,,,,,6,4047,吉永浩則,42,大阪,56.0,B1,4.09,20.88,1.33,,48,25.0,90,35.78,1,5,4,,,,,,,,,,
202209170006,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,6R,予選,1800,10:59,1,4615,板倉敦史,42,東京,53.0,B1,4.8,25.81,4.33,11.11,24,42.86,39,46.85,2,6,5,,,,1,,,,,,,2,3787,天野 誠,51,岡山,54.0,B1,4.13,24.24,,,58,70.0,75,33.98,3,6,5,,,,,,,,,,,3,4724,吉田祐貴,36,佐賀,52.0,B1,4.22,26.83,4.5,25.83,23,16.67,83,37.38,6,3,4,,,,,,,,,,,4,4469,土山卓也,35,福井,53.0,A2,5.88,41.11,7.22,55.56,20,41.18,56,33.94,2,4,3,,,,1,2,,,,,,5,4357,田中和也,38,大阪,52.0,A1,6.64,51.72,6.76,54.05,27,38.1,45,36.45,1,3,5,1,,,1,0,,,,,,6,3701,大西隆洋,49,香川,57.0,B1,4.29,22.64,3.77,15.38,50,42.86,93,43.52,4,,,,,,4,2,,,,,2
202209170007,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,7R,予選,1800,11:28,1,4555,富永大一,33,福岡,53.0,B1,4.91,24.44,4.6,30.23,54,50.0,82,30.56,4,,,,,,2,3,,,,,3,2,4295,小坂尚哉,36,兵庫,54.0,A1,6.27,38.54,6.47,47.06,65,60.0,48,33.64,1,5,3,1,,,,,,,,,,3,4652,酒見峻介,37,佐賀,51.0,A2,5.48,38.3,5.48,33.33,16,55.0,91,42.59,1,,,,,,1,5,,,,,1,4,4055,吉田俊彦,44,兵庫,52.0,A1,7.3,57.34,6.23,56.67,43,9.09,49,22.33,3,2,1,,,,1,1,,,,,,5,5135,仲 航太,22,東京,53.0,B1,4.19,21.51,,,67,,94,16.51,4,,,,,,3,3,,,,,,6,4104,木下陽介,43,東京,58.0,B1,4.53,27.27,4.78,33.33,70,50.0,43,30.84,3,4,1,,,,,,,,,,
202209170008,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,8R,予選,1800,12:01,1,5022,伊藤尚汰,27,福岡,48.0,B1,3.89,16.92,4.38,27.03,51,33.33,85,36.36,5,5,5,,,,,,,,,,,2,3773,津留浩一,48,長崎,55.0,B1,3.99,21.62,4.07,22.54,66,,68,37.74,6,2,4,,,,1,,,,,,,3,3680,森林 太,49,長崎,56.0,B1,4.15,23.08,4.25,22.73,55,46.15,47,34.29,6,6,6,,,,,,,,,,,4,4515,藤田浩人,36,佐賀,54.0,A2,5.75,41.18,5.68,37.37,44,36.36,40,34.58,1,3,4,,,,2,,,,,,,5,4757,山田祐也,33,徳島,53.0,A1,7.07,59.29,7.33,50.0,69,50.0,66,28.85,2,4,1,2,,,1,2,,,,,,6,4252,松下哲也,39,福岡,51.0,B1,4.35,22.22,4.62,28.57,57,11.11,32,33.33,5,,,,,,6,4,,,,,4
202209170009,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,9R,予選,1800,12:35,1,4452,松尾 祭,34,香川,50.0,B1,6.03,42.86,5.72,40.0,56,46.15,46,35.78,4,,,,,,3,3,,,,,5,2,3955,眞田英二,45,徳島,52.0,A2,6.53,47.41,6.49,45.95,28,13.33,63,27.1,4,2,2,,,,4,,,,,,,3,4006,小野勇作,44,佐賀,50.0,A2,5.37,33.64,5.64,34.21,68,36.36,73,27.1,1,1,2,5,,,,,,,,,,4,4193,郷原章平,41,福岡,53.0,A1,5.77,40.0,6.3,44.26,61,,78,28.04,3,,,,,,1,2,,,,,2,5,5210,藤井公人,24,福岡,57.0,B2,1.61,,1.35,,11,19.05,35,32.41,6,,,,,,6,6,,,,,,6,5009,大賀龍之,25,福岡,56.0,B1,3.87,20.48,2.93,13.33,13,75.0,79,31.73,5,,,,,,1,5,,,,,3
202209170010,スポーツ報知杯,第3日,2022-09-17,ボートレース唐津,10R,予選特賞Ａ,1800,13:12,1,3282,池本輝明,55,広島,52.0,B1,5.19,30.43,5.28,36.17,18,31.82,54,32.71,4,,,,,,1,4,,,,,4,2,3350,藤本佳史,54,山口,53.0,A2,5.44,41.38,5.65,30.43,45,30.77,64,25.96,3,,,,,,1,4,,,,,5,3,4357,田中和也,38,大阪,52.0,A1,6.64,51.72,6.76,54.05,27,38.1,45,36.45,1,3,5,1,,,6,,,,,,,4,4430,永田秀二,36,東京,56.0,A1,6.5,50.36,,,26,15.79,51,38.53,5,1,3,,,,3,,,,,,,5,4054,福嶋智之,44,岡山,54.0,B1,5.57,42.11,4.0,25.0,22,22.73,70,32.73,5,2,6,,,,1,,,,,,,6,3587,武田信一,49,徳島,60.0,B1,4.81,27.78,3.06,5.88,59,11.11,87,32.73,2,2,3,,,,,,,,,,
